,project_number,year_range,location_name,block_group,distance
57,[170 -02] 37794,2016-2020,On W Winona St From N Ravenswood Ave To N Paulina St,170310310001,0.19664768711686784
58,[170 -02] 37794,2016-2020,On W Argyle St From N California Ave To N Mozart St,170310403003,0.10112126787901002
59,[170 -02] 37794,2016-2020,On S St Louis Ave From W 80th Pl To W 81st Pl,170317004011,0.20012422354396278
60,[170 -02] 37794,2016-2020,N Mayfield Ave And W Madison St,170312521011,0.001
61,[170 -02] 37794,2016-2020,On S Princeton Ave From W 59th St To W 59th Pl,170318346003,0.09219149948098272
62,[170 -02] 37794,2016-2020,On E 88th St From S East End Ave To S Constance Ave,170314801002,0.29294481480095474
63,[170 -02] 37794,2016-2020,On E 99th St From S Ewing Ave To S Avenue J,170315202003,0.000332374398785726
64,[170 -02] 37794,2016-2020,On E 99th St From S Ewing Ave To S Avenue J,170315201001,0.10395005763048426
65,[170 -02] 37794,2016-2020,On N Bernard St From W Grace St To W Irving Park Rd,170311608005,0.4048617597192888
66,[170 -02] 37794,2016-2020,On N Bernard St From W Grace St To W Irving Park Rd,170311605023,0.007147277267172391
67,[170 -02] 37794,2016-2020,On N Davlin Ct From W Barry Ave To N Milwaukee Ave,170312105012,0.264341311565553
68,[170 -02] 37794,2016-2020,On N Drake Ave From W Carmen Ave To W Foster Ave,170318318005,0.18699916664290628
69,[170 -02] 37794,2016-2020,On N Drake Ave From W Carmen Ave To W Foster Ave,170318318004,0.00952651247613298
70,[170 -02] 37794,2016-2020,On N Greenview Ave From W Henderson St To W Roscoe St,170310624001,0.09730975877083296
71,[170 -02] 37794,2016-2020,On S St Louis Ave From W 75th St To W 76th St,170317001001,0.19466387850473144
72,[170 -02] 37794,2016-2020,On N Overhill Ave From W Birchwood Ave To W Howard St,170310901004,0.20127491545929954
73,[170 -02] 37794,2016-2020,On N Troy St From W Devon Ave To W Arthur Ave,170310207021,0.20284212229680582
74,[170 -02] 37794,2016-2020,On N Troy St From W Devon Ave To W Arthur Ave,170310203012,0.0007979970705550232
75,[170 -02] 37794,2016-2020,On N Washtenaw Ave From W Carmen Ave To W Winona St,170310402012,0.08574743979935101
76,[170 -02] 37794,2016-2020,On S Aberdeen St From W 107th St To W 107th Pl,170317501002,0.10298756518642525
77,[170 -02] 37794,2016-2020,On S Ashland Ave From W 108th Pl To W 109th Pl,170317502001,0.1432687870730774
78,[170 -02] 37794,2016-2020,On S Ashland Ave From W 108th Pl To W 109th Pl,170317501003,0.08690259247888273
79,[170 -02] 37794,2016-2020,On N Leclaire Ave From W Diversey Ave To W Oakdale Ave,170311902004,0.20154793324433684
80,[170 -02] 37794,2016-2020,On N Leclaire Ave From W Diversey Ave To W Oakdale Ave,170311902003,0.10486599278872069
81,[170 -02] 37794,2016-2020,On S Damen Ave From W 83rd St To W 82nd St,170317112004,0.20252873559915452
82,[170 -02] 37794,2016-2020,On S Eggleston Ave From W 105th St To W 104th St,170314911001,0.1986722950711676
83,[170 -02] 37794,2016-2020,On S Green St From W 107th St To W 106th St,170317501001,0.0004323225544986877
84,[170 -02] 37794,2016-2020,On S Green St From W 107th St To W 106th St,170317307001,0.20132723678673536
85,[170 -02] 37794,2016-2020,On S Hamlin Blvd From W Wilcox St To W Monroe St,170312705001,0.07535203071307538
86,[170 -02] 37794,2016-2020,On S Hamlin Blvd From W Wilcox St To W Monroe St,170312608001,0.023691349707914075
87,[170 -02] 37794,2016-2020,On S Hoyne Ave From W 71st Pl To W 73rd St,170316720004,0.3033421800880761
88,[170 -02] 37794,2016-2020,On S Hoyne Ave From W 73rd St To W 72nd Pl,170316720004,0.09969122389233186
89,[170 -02] 37794,2016-2020,On S Karlov Ave From W Polk St To W Lexington St,170312610002,0.09911625270051655
90,[170 -02] 37794,2016-2020,On S Kildare Ave From W Harrison St To W Flournoy St,170312606002,8.838178603215876e-05
91,[170 -02] 37794,2016-2020,On S Kildare Ave From W Harrison St To W Flournoy St,170312610001,0.09927416276988968
92,[170 -02] 37794,2016-2020,On S Mason Ave From W Arthington St To W Roosevelt Rd,170318314002,0.4049748022060862
93,[170 -02] 37794,2016-2020,On S Princeton Ave From W 59th Pl To W 60th Pl,170318346003,0.20246065237263458
94,[170 -02] 37794,2016-2020,On S Central Park Ave From W 75th St To W 78th St,170317001001,0.6018854734821403
95,[170 -02] 37794,2016-2020,On W 78th Pl From S Kedvale Ave To S Karlov Ave,170317002004,0.048400970040836766
96,[170 -02] 37794,2016-2020,On W 73rd St From S Whipple St To S Kedzie Ave,170316611003,0.2918435434974438
97,[170 -02] 37794,2016-2020,On W 58th St From S Peoria St To S Sangamon St,170318347002,0.09875085172175639
98,[170 -02] 37794,2016-2020,On W 58th Pl From S Hamlin Ave To S Central Park Ave,170316204002,0.3829127306903335
99,[170 -02] 37794,2016-2020,On W 106th St From S Green St To S Peoria St,170317307001,0.10071287597414802
100,[170 -02] 37794,2016-2020,On W 52nd St From S Kedzie Ave To S Troy St,170316303001,0.00014645529199377435
101,[170 -02] 37794,2016-2020,On W 52nd St From S Kedzie Ave To S Troy St,170316304004,0.09975534280554386
102,[170 -02] 37794,2016-2020,On W 52nd St From S Albany Ave To S Whipple St,170316304004,0.10073666422488393
103,[170 -02] 37794,2016-2020,On W 18th St From S Wentworth Ave To S Clark St,170318411001,0.03201934147661077
104,[170 -02] 37794,2016-2020,On W 18th St From S Wentworth Ave To S Clark St,170313302002,0.10644991397354588
105,[170 -02] 37794,2016-2020,On W 107th St From S Morgan St To S Racine Ave,170317501002,0.4041960717266553
106,[170 -02] 37794,2016-2020,On W 52nd St From S Troy St To S Albany Ave,170316304004,0.10329137686738436
107,[170 -02] 37794,2016-2020,On W 81st Pl From S Kostner Ave To S Kenneth Ave,170317003013,0.18035752054087917
108,[170 -02] 37794,2016-2020,On W Wilcox St From S Hamlin Blvd To S Springfield Ave,170312705001,0.001105676544557488
109,[170 -02] 37794,2016-2020,On W Wilcox St From S Hamlin Blvd To S Springfield Ave,170312608001,0.19770959754886938
110,[170 -02] 37794,2016-2020,On W Argyle St From N Mozart St To N Francisco Ave,170310403003,0.10038877490351743
111,[170 -02] 37794,2016-2020,On W Arthur Ave From N Troy St To N Albany Ave,170310203012,0.06582695842745881
112,[170 -02] 37794,2016-2020,On W Arthur Ave From N Troy St To N Albany Ave,170310206012,0.03482748746089983
113,[170 -02] 37794,2016-2020,On W Barry Ave From N Springfield Ave To N Davlin Ct,170312105012,0.10720031514838022
114,[170 -02] 37794,2016-2020,On W Jackson Blvd From S California Ave To S Francisco Ave,170318370001,0.20369292647303514
115,[170 -02] 37794,2016-2020,On W Madison St From N Waller Ave To N Mason Ave,170312520002,0.13915296071794878
116,[170 -02] 37794,2016-2020,On W Madison St From N Waller Ave To N Mason Ave,170312520003,0.2839288107055599
117,[170 -02] 37794,2016-2020,On W Palmer St From N Cicero Ave To N Kilpatrick Ave,170311911001,0.005836943716794889
118,[170 -02] 37794,2016-2020,On W Palmer St From N Cicero Ave To N Kilpatrick Ave,170311910001,0.2035889463379081
119,[170 -02] 37794,2016-2020,On W Peterson Ave From N Harlem Ave To N Oconto Ave,170311003006,0.11239541242296748
120,[170 -02] 37794,2016-2020,On W Peterson Ave From N Harlem Ave To N Oconto Ave,170311003002,0.00569411019067977
121,[170 -02] 37794,2016-2020,On W Railroad Ave From S Mason Ave To S Austin Blvd,170318314002,0.09237714021243079
122,[170 -02] 37794,2016-2020,On W Roscoe St From N Greenview Ave To N Janssen Ave,170310624001,0.0162098708796325
123,[170 -02] 37794,2016-2020,On W Roscoe St From N Greenview Ave To N Janssen Ave,170318319001,0.08460303390735048
124,[170 -02] 37794,2016-2020,On S St. Louis Ave. From W 81st Pl To W Columbus Ave,170317004011,0.015345818641469567
125,[170 -02] 37794,2016-2020,On W 81st St From S Kilpatrick Ave To S Keating Ave,170317003013,0.07050181034728475
126,[170 -02] 37794,2016-2020,On S Princeton Ave From W 59th Pl To W 60th St,170318346003,0.09880860305311444
127,[170 -02] 37794,2016-2020,N Keating Ave And W Devon Ave,170311203006,0.001
128,[170 -02] 37794,2016-2020,On E 61st St From S Langley Ave To S Rhodes Ave,170314205001,0.19878354104939552
129,[170 -02] 37794,2016-2020,On E 61st St From S Langley Ave To S Rhodes Ave,170314206002,0.0987125068941112
130,[170 -02] 37794,2016-2020,On E 88th St From S Euclid Ave To S Bennett Ave,170314801002,0.10222792405386276
131,[170 -02] 37794,2016-2020,On N Bernard St From W Belmont Ave To W Barry Ave,170318311001,0.0007037557909755912
132,[170 -02] 37794,2016-2020,On N Bernard St From W Belmont Ave To W Barry Ave,170312106013,0.19942730826120483
133,[170 -02] 37794,2016-2020,On N Clybourn Ave From W Webster Ave To N Greenview Ave,170318325001,0.15365427175899182
134,[170 -02] 37794,2016-2020,On N Davlin Ct From W Barry Ave To W Wellington Ave,170312105012,0.17086990405218602
135,[170 -02] 37794,2016-2020,On N Greenview Ave From W Belmont Ave To W Henderson St,170310624001,0.305174235757645
136,[170 -02] 37794,2016-2020,On N Harding Ave From W Barry Ave To W Belmont Ave,170312105012,0.1991349824567904
137,[170 -02] 37794,2016-2020,On N Harding Ave From W Barry Ave To W Belmont Ave,170318311003,0.002559877093405484
138,[170 -02] 37794,2016-2020,On N Oconto Ave From W Peterson Ave To W Thorndale Ave,170311003002,0.24162449124044763
139,[170 -02] 37794,2016-2020,On N Springfield Ave From W Belmont Ave To W Barry Ave,170318311003,0.0020000589430573174
140,[170 -02] 37794,2016-2020,On N Springfield Ave From W Belmont Ave To W Barry Ave,170312105012,0.2221862362981265
141,[170 -02] 37794,2016-2020,On S Racine Ave From W 108th St To W 110th St,170317501004,0.3992940055058494
142,[170 -02] 37794,2016-2020,On N Washtenaw Ave From W Winona St To W Argyle St,170310402012,0.1871280195074058
143,[170 -02] 37794,2016-2020,On N Washtenaw Ave From W Winona St To W Argyle St,170310402014,0.10155270282398675
144,[170 -02] 37794,2016-2020,On S Carpenter St From W 64th St To W 65th St,170316810004,0.20051081794263279
145,[170 -02] 37794,2016-2020,On S Constance Ave From E 88th St To E 90th St,170314801002,0.20596831057295778
146,[170 -02] 37794,2016-2020,On S Constance Ave From E 88th St To E 90th St,170314804007,0.20139750659324343
147,[170 -02] 37794,2016-2020,On S Davol St From W Monterey Ave To W Waseca Pl,170317505003,0.10476047105669933
148,[170 -02] 37794,2016-2020,On S Eggleston Ave From W 105th St To W 106th St,170314911001,0.20460137945931678
149,[170 -02] 37794,2016-2020,On S Hamlin Ave From W 66th St To W Marquette Rd,170316503022,0.19931611959758458
150,[170 -02] 37794,2016-2020,On S Hamlin Ave From W 66th St To W Marquette Rd,170316504005,0.0016511969189871056
151,[170 -02] 37794,2016-2020,On S Hermitage Ave From W 47th St To W 46th St,170316104001,0.19956412423956688
152,[170 -02] 37794,2016-2020,On S Hoyne Ave From W 72nd St To W 71st Pl,170316720004,0.0988777917228874
153,[170 -02] 37794,2016-2020,On S Karlov Ave From W Arthington St To W Polk St,170312610002,0.1030789719871001
154,[170 -02] 37794,2016-2020,On S Kenneth Ave From W 81st Pl To W 81st St,170317003013,0.04583662701031522
155,[170 -02] 37794,2016-2020,On S Lawndale Ave From W 64th Pl To W 66th St,170316503022,0.30395811446442683
156,[170 -02] 37794,2016-2020,On S Perry Ave From W Marquette Rd To W 68th St,170318425001,0.006664538006753518
157,[170 -02] 37794,2016-2020,On S Perry Ave From W Marquette Rd To W 68th St,170316903001,0.20415196830463284
158,[170 -02] 37794,2016-2020,On S Ashland Ave From S Church St To W 109th St,170317502001,0.030350447130658716
159,[170 -02] 37794,2016-2020,On S Ashland Ave From S Church St To W 109th St,170317501003,0.03320296509019989
160,[170 -02] 37794,2016-2020,N Mcvicker Ave And W Ardmore Ave,170311001003,0.001
161,[170 -02] 37794,2016-2020,N Menard Ave And W Madison St,170318391001,0.001
162,[170 -02] 37794,2016-2020,N Mozart St And W Argyle St,170310403003,0.001
163,[170 -02] 37794,2016-2020,S Austin Blvd And W Roosevelt Rd,170318314002,0.001
164,[170 -02] 37794,2016-2020,S Mason Ave And W Arthington St,170318314002,0.001
165,[170 -02] 37794,2016-2020,S Mayfield Ave And W Roosevelt Rd,170318314002,0.001
166,[170 -02] 37794,2016-2020,S Monitor Ave And W Roosevelt Rd,170318314002,0.001
167,[170 -02] 37794,2016-2020,S Scottsdale Ave And S Knox Ave,170317003013,0.001
168,[170 -02] 37794,2016-2020,S St Louis Ave And W Columbus Ave,170317004011,0.001
169,[170 -02] 37794,2016-2020,W 60th Pl And S Wells St,170318346003,0.001
170,[170 -02] 37794,2016-2020,3500-3520 N Reta Ave,170318320001,0.06261206394078356
171,[170 -02] 37794,2016-2020,1656-1756 W Carmen Ave,170310310001,0.006330467157361938
172,[170 -02] 37794,2016-2020,N Moody Ave And W Ardmore Ave,170311001003,0.001
173,[170 -02] 37794,2016-2020,N Normandy Ave And W Devon Ave,170311002002,0.001
174,[170 -02] 37794,2016-2020,S Keeler Ave And W 78th St,170317002004,0.001
175,[170 -02] 37794,2016-2020,S May St And W 107th St,170317501002,0.001
176,[170 -02] 37794,2016-2020,S Menard Ave And W Roosevelt Rd,170318314002,0.001
177,[170 -02] 37794,2016-2020,S Princeton Ave And W 60th Pl,170318346003,0.001
178,[170 -02] 37794,2016-2020,S Springfield Ave And W 78th St,170317002003,0.001
179,[170 -02] 37794,2016-2020,S Whipple St And W 52nd St,170316304004,0.001
180,[170 -02] 37794,2016-2020,W 77th Pl And S Keeler Ave,170317002004,0.001
181,[170 -02] 37794,2016-2020,244-300 W 60th Pl,170318346003,0.06985992233617583
182,[170 -02] 37887,2016-2020,On S Avenue J From E 104th St To E 103rd St,170315204004,0.20370966400960355
183,[170 -02] 37887,2016-2020,W Madison St And N Menard Ave,170318391001,0.001
184,[170 -02] 37887,2016-2020,W 79th St And S Karlov Ave,170317002004,0.001
185,[170 -02] 37887,2016-2020,W 77th St And S Emerald Ave,170317101001,0.001
186,[170 -02] 37887,2016-2020,W 66th St And S Pulaski Rd,170316503014,0.001
187,[170 -02] 37887,2016-2020,W 59th St And S Nashville Ave,170316404001,0.001
188,[170 -02] 37887,2016-2020,W 58th Pl And S Hamlin Ave,170316204002,0.001
189,[170 -02] 37887,2016-2020,W 52nd St And S Francisco Ave,170316304001,0.001
190,[170 -02] 37887,2016-2020,W 104th St And S Hoyne Ave,170317206001,0.001
191,[170 -02] 37887,2016-2020,S Perry Ave And W 68th St,170316903001,0.001
192,[170 -02] 37887,2016-2020,S Lafayette Ave And W 115th St,170315302001,0.001
193,[170 -02] 37887,2016-2020,S Karlov Ave And W 79th St,170317002004,0.001
194,[170 -02] 37887,2016-2020,S Carpenter St And W 64th St,170316810004,0.001
195,[170 -02] 37887,2016-2020,N Washtenaw Ave And W Argyle St,170310402014,0.001
196,[170 -02] 37887,2016-2020,N Elston Ave And W Augusta Blvd,170318423001,0.001
197,[170 -02] 37887,2016-2020,E 43rd St And S Vernon Ave,170313802002,0.001
198,[170 -02] 37887,2016-2020,On W 77th St From S Union Ave To S Lowe Ave,170317101001,0.10091806338714518
199,[170 -02] 37887,2016-2020,On S Halsted St From W 78th St To W 79th St,170317102001,0.0013345888830705859
200,[170 -02] 37887,2016-2020,On S Halsted St From W 78th St To W 79th St,170317108001,0.20096684364190678
201,[170 -02] 37887,2016-2020,W Palmer St And N Cicero Ave,170311911001,0.001
202,[170 -02] 37887,2016-2020,W Ardmore Ave And N Austin Ave,170311001003,0.001
203,[170 -02] 37887,2016-2020,W 77th St And S Perry Ave,170316912002,0.001
204,[170 -02] 37887,2016-2020,W 73rd St And S Kedzie Ave,170316611003,0.001
205,[170 -02] 37887,2016-2020,W 65th St And S Lawndale Ave,170316503022,0.001
206,[170 -02] 37887,2016-2020,W 58th St And S Halsted St,170318347001,0.001
207,[170 -02] 37887,2016-2020,W 52nd St And S Kedzie Ave,170316303001,0.001
208,[170 -02] 37887,2016-2020,W 107th St And S Morgan St,170317501002,0.001
209,[170 -02] 37887,2016-2020,W Palatine Ave And N Natoma Ave,170311002002,0.001
210,[170 -02] 37887,2016-2020,S Perry Ave And W Marquette Rd,170318425001,0.001
211,[170 -02] 37887,2016-2020,S Kostner Ave And W 81st Pl,170317003013,0.001
212,[170 -02] 37887,2016-2020,S Emerald Ave And W 79th St,170317109001,0.001
213,[170 -02] 37887,2016-2020,S Ashland Ave And W 108th Pl,170317502001,0.001
214,[170 -02] 37887,2016-2020,N Sheffield Ave And W Wellington Ave,170310630003,0.001
215,[170 -02] 37887,2016-2020,N Drake Ave And W Foster Ave,170318318004,0.001
216,[170 -02] 37887,2016-2020,On W 62nd St From S Ashland Ave To S Laflin St,170316707002,0.00778261551957968
217,[170 -02] 37887,2016-2020,On W 62nd St From S Ashland Ave To S Laflin St,170316708002,0.20028940646683147
218,[170 -02] 37887,2016-2020,S Morgan St And W 107th St,170317501002,0.001
219,[170 -02] 37887,2016-2020,W Polk St And S Pulaski Rd,170312609002,0.001
220,[170 -02] 38307,2016-2020,On S Ada St From W 79th St To W 77th St,170317107001,0.20314832894289653
221,[170 -02] 38307,2016-2020,On S Ada St From W 79th St To W 77th St,170317102005,0.20097632664434512
222,[170 -02] 38307,2016-2020,On W 77th St From S Loomis Blvd To S Bishop St,170317103001,0.13398520928457325
223,[170 -02] 38307,2016-2020,On W 77th St From S Ada St To S Throop St,170317102005,0.13438722497658248
224,[170 -02] 38382,2016-2020,On E Oakwood Blvd From S Langley Ave To S Vincennes Ave,170313801001,0.2563365491421826
225,[170 -02] 38382,2016-2020,On S Langley Ave From E 40th St To E Oakwood Blvd,170313801001,0.14090610191942812
226,[170 -02] 38386,2016-2020,W Montrose Ave And N Mulligan Ave,170311505021,0.001
227,[170 -02] 38386,2016-2020,W Montrose Ave And N Mobile Ave,170311505021,0.001
228,[170 -02] 38406,2016-2020,On S Natoma Ave From W 57th St To W 56th St,170315610002,0.20590625627106707
229,[170 -02] 38406,2016-2020,On W 57th St From S Nashville Ave To S Natoma Ave,170315610002,0.10375517757296707
230,[170 -02] 38786,2016-2020,On N Narragansett Ave From W Roscoe St To W Addison St,170311711003,0.4077848426140086
231,[170 -02] 38786,2016-2020,On N Narragansett Ave From W Roscoe St To W Addison St,170311702002,0.001868907409969012
232,[170 -02] 38786,2016-2020,W Newport Ave And N Narragansett Ave,170311711003,0.001
233,[170 -02] 38786,2016-2020,On W Cornelia Ave From N Nagle Ave To N Narragansett Ave,170311710001,0.09739594244567511
234,[170 -02] 38786,2016-2020,On W Cornelia Ave From N Nagle Ave To N Narragansett Ave,170311711003,0.0024418071799901394
235,[170 -02] 38787,2016-2020,On N Octavia Ave From W Jarvis Ave To W Birchwood Ave,170310901001,0.19979454322192083
236,[170 -02] 38787,2016-2020,On N Overhill Ave From W Sherwin Ave To W Birchwood Ave,170310901003,0.10122417508682123
237,[170 -02] 38787,2016-2020,On N Overhill Ave From W Sherwin Ave To W Birchwood Ave,170310901004,0.20428086565096745
238,[170 -02] 38787,2016-2020,On W Jarvis Ave From N Ottawa Ave To N Overhill Ave,170310901003,0.05096133072142315
239,[170 -02] 38787,2016-2020,On W Jarvis Ave From N Ottawa Ave To N Overhill Ave,170310901004,0.04997211396802628
240,[170 -02] 38787,2016-2020,On N Ottawa Ave From W Jarvis Ave To W Chase Ave,170310901003,0.1999620105467169
241,[170 -02] 38787,2016-2020,N Oriole Ave And W Birchwood Ave,170310901004,0.001
242,[170 -02] 38788,2016-2020,On S Karlov Ave From W 62nd St To W 61st St,170316502002,0.20189691964647835
243,[170 -02] 38788,2016-2020,On W 61st St From S Karlov Ave To S Komensky Ave,170316502002,0.0955253080613739
244,[170 -02] 38788,2016-2020,On W 62nd St From S Keeler Ave To S Kildare Ave,170316502002,0.10086282711320406
245,[170 -02] 38788,2016-2020,On W 62nd St From S Keeler Ave To S Kildare Ave,170316502003,0.10089736986491964
246,[170 -02] 38788,2016-2020,On W 62nd St From S Komensky Ave To S Karlov Ave,170316502002,0.10077312086524391
247,[170 -02] 38788,2016-2020,On W 61st St From S Karlov Ave To S Kedvale Ave,170316502002,0.10675007549339552
248,[170 -02] 38788,2016-2020,On W 62nd St From S Karlov Ave To S Keeler Ave,170316502002,0.2036736169916046
249,[170 -02] 38788,2016-2020,On W 62nd St From S Kildare Ave To S Kostner Ave,170316502003,0.20366573673526292
250,[170 -02] 38788,2016-2020,On W 62nd St From S Pulaski Rd To S Komensky Ave,170316502002,0.09501016967204563
251,[170 -02] 38789,2016-2020,On W 53rd St From S Hamlin Ave To S Millard Ave,170316201002,0.3027126584876945
252,[170 -02] 38789,2016-2020,On W 53rd St From S Springfield Ave To S Hamlin Ave,170316201002,0.20305690268773674
253,[170 -02] 38790,2016-2020,On N Mobile Ave From W Bloomingdale Ave To W Cortland St,170312504005,0.2039308143404043
254,[170 -02] 38790,2016-2020,On W Cortland St From N Mobile Ave To N Mulligan Ave,170312504005,0.11079459896944963
255,[170 -02] 38790,2016-2020,On N Mobile Ave From W Bloomingdale Ave To W Wabansia Ave,170312504005,0.21761565285602907
256,[170 -02] 38790,2016-2020,On W Wabansia Ave From N Mobile Ave To N Narragansett Ave,170312504005,0.13574756848564654
257,[170 -02] 38791,2016-2020,On W 60th St From S Mobile Ave To S Merrimac Ave,170316403003,0.09305023116336686
258,[170 -02] 38791,2016-2020,On W 60th St From S Mobile Ave To S Merrimac Ave,170316403006,0.006294108131160359
259,[170 -02] 38791,2016-2020,On W 60th St From S Nagle Ave To S Narragansett Ave,170316404001,0.10357825325560768
