,location_name,from,from_lat_long,to,to_lat_long,Status
1921,On N Western Ave From W Logan Blvd To N Kennedy Expy Ob,N Western Ave And W Logan Blvd,"[41.9286598, -87.6876714]",N Western Ave And N Kennedy Expy Ob,"[41.9247095, -87.682326]",To Bad
932,On N Wolcott Ave From W Huron St To W Warren Blvd,N Wolcott Ave And W Huron St,"[41.8941352, -87.674551]",N Wolcott Ave And W Warren Blvd,"[41.8822811, -87.674214]",All Good
1184,On N Wolcott Ave From W Kinzie St To W Warren Blvd,N Wolcott Ave And W Kinzie St,"[41.8887582, -87.6744513]",N Wolcott Ave And W Warren Blvd,"[41.8822811, -87.674214]",All Good
9,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,N Wolcott Ave And W Lawrence Ave,"[41.9687684, -87.6762189]",N Wolcott Ave And W Balmoral Ave,"[41.979728, -87.676518]",All Good
1779,On N Wolcott Ave From W Winnemac Ave To W Balmoral Ave,N Wolcott Ave And W Winnemac Ave,"[41.973329, -87.676322]",N Wolcott Ave And W Balmoral Ave,"[41.979728, -87.676518]",All Good
981,On S Albany Ave From W Cermak Rd To W 26th St,S Albany Ave And W Cermak Rd,"[41.851816, -87.702818]",S Albany Ave And W 26th St,"[41.844599, -87.702554]",All Good
1224,On S Archer Ave From S Ashland Ave To S Poplar Ave,S Archer Ave And S Ashland Ave,"[41.837762, -87.665687]",S Archer Ave And S Poplar Ave,"[41.844338, -87.652341]",All Good
639,On S Archer Ave From S Damen Ave To S Paulina St,S Archer Ave And S Damen Ave,"[41.831904, -87.675336]",S Archer Ave And S Paulina St,"[41.836226, -87.668164]",All Good
288,On S Archer Ave From S Rockwell St To S Sacramento Ave,S Archer Ave And S Rockwell St,"[41.823049, -87.689719]",S Archer Ave And S Sacramento Ave,"[41.817103, -87.699388]",All Good
1663,On S Archer Ave From S Western Ave To W 37th St,S Archer Ave And S Western Ave,"[41.825931, -87.684894]",S Archer Ave And W 37th St,"[41.829971, -87.678525]",To Bad
640,On S Ashland Ave From S Archer Ave To W Pershing Rd,S Ashland Ave And S Archer Ave,"[41.837762, -87.665687]",S Ashland Ave And W Pershing Rd,"[41.8231271, -87.6653327]",All Good
979,On S Ashland Ave From W 79th St To W 83rd St,S Ashland Ave And W 79th St,"[41.750346, -87.663386]",S Ashland Ave And W 83rd St,"[41.743071, -87.663358]",All Good
587,On S Ashland Ave From W Congress Pkwy To W Roosevelt Rd,S Ashland Ave And W Congress Pkwy,"[41.8752, -87.666715]",S Ashland Ave And W Roosevelt Rd,"[41.866928, -87.666477]",All Good
1784,On S Austin Ave From W 59th St To W 63rd St,S Austin Ave And W 59th St,"[41.7852006, -87.7717542]",S Austin Ave And W 63rd St,"[41.777902, -87.771484]",All Good
1876,On S Bishop St From W 109th Pl To W 112th Pl,S Bishop St And W 109th Pl,"[41.694875, -87.658609]",S Bishop St And W 112th Pl,"[41.689291, -87.65849]",All Good
988,On S Blackstone Ave From E 83rd St To E 86th St,S Blackstone Ave And E 83rd St,"[41.744163, -87.588179]",S Blackstone Ave And E 86th St,"[41.738696, -87.587922]",All Good
936,On S Central Park Ave From W 28th St To W 32nd St,S Central Park Ave And W 28th St,"[41.840727, -87.714694]",S Central Park Ave And W 32nd St,"[41.83526, -87.71458]",All Good
72,On S Central Park Ave From W 75th St To W 78th St,S Central Park Ave And W 75th St,"[41.7568928, -87.7120345]",S Central Park Ave And W 78th St,"[41.7514803, -87.7119487]",All Good
999,On S Central Park Ave From W Cermak Rd To W 28th St,S Central Park Ave And W Cermak Rd,"[41.851699, -87.715008]",S Central Park Ave And W 28th St,"[41.840727, -87.714694]",All Good
477,On S Constance Ave From E 87th St To E 90th St,S Constance Ave And E 87th St,"[41.736999, -87.579361]",S Constance Ave And E 90th St,"[41.731547, -87.579237]",All Good
536,On S Drexel Ave From E 90th St To E 93rd St,S Drexel Ave And E 90th St,"[41.7312076, -87.6006995]",S Drexel Ave And E 93rd St,"[41.725759, -87.600936]",From Bad
1448,On S Eggleston Ave From W 100th St To W 108th St,S Eggleston Ave And W 100th St,"[41.712509, -87.633688]",S Eggleston Ave And W 108th St,"[41.697917, -87.634127]",All Good
507,On S Emerald Ave From W 75th St To W 79th St,S Emerald Ave And W 75th St,"[41.757845, -87.643019]",S Emerald Ave And W 79th St,"[41.750643, -87.64284]",All Good
130,On S Green Bay Ave From E 103rd St To E 106th St,S Green Bay Ave And E 103rd St,"[41.708192, -87.541328]",S Green Bay Ave And E 106th St,"[41.702754, -87.54132]",All Good
1500,On S Halsted St From W Root St To W 47th St,S Halsted St And W Root St,"[41.818669, -87.645766]",S Halsted St And W 47th St,"[41.8089053, -87.6455368]",All Good
995,On S Hamlin Ave From W 16th St To W 26th St,S Hamlin Ave And W 16th St,"[41.8589242, -87.7200639]",S Hamlin Ave And W 26th St,"[41.844322, -87.719659]",All Good
1502,On S Hermitage Ave From W 81st St To W 85th St,S Hermitage Ave And W 81st St,"[41.746651, -87.667019]",S Hermitage Ave And W 85th St,"[41.73937, -87.666834]",All Good
943,On S Homan Ave From W 16th St To W 26th St,S Homan Ave And W 16th St,"[41.8590254, -87.7103414]",S Homan Ave And W 26th St,"[41.844478, -87.709893]",All Good
1800,On S Honore St From W 48th St To W 45th St,S Honore St And W 48th St,"[41.806724, -87.671015]",S Honore St And W 45th St,"[41.8121442, -87.6711304]",All Good
1783,On S Hoyne Ave From W Cermak Rd To W 18th St,S Hoyne Ave And W Cermak Rd,"[41.85216, -87.6783015]",S Hoyne Ave And W 18th St,"[41.8576896, -87.6784551]",All Good
1835,On S Indiana Ave From E 107th St To E 111th St,S Indiana Ave And E 107th St,"[41.699939, -87.618445]",S Indiana Ave And E 111th St,"[41.692648, -87.61826]",All Good
1880,On S Jefferson St From W Harrison St To W Monroe St,S Jefferson St And W Harrison St,"[41.874329, -87.6424446]",S Jefferson St And W Monroe St,"[41.880541, -87.64261]",All Good
1836,On S Jeffery Blvd From E 80th St To E 83rd St,S Jeffery Blvd And E 80th St,"[41.749793, -87.575957]",S Jeffery Blvd And E 83rd St,"[41.744338, -87.575863]",All Good
1761,On S Keeler Ave From W 55th St To W 58th St,S Keeler Ave And W 55th St,"[41.793185, -87.728032]",S Keeler Ave And W 58th St,"[41.7876941, -87.727874]",All Good
1796,On S Keeler Ave From W 58th St To W 55th St,S Keeler Ave And W 58th St,"[41.7876941, -87.727874]",S Keeler Ave And W 55th St,"[41.793185, -87.728032]",All Good
945,On S Lawndale Ave From W 26th St To W 31st St,S Lawndale Ave And W 26th St,"[41.844361, -87.717233]",S Lawndale Ave And W 31st St,"[41.837016, -87.717025]",All Good
1754,On S Lawndale Ave From W 59th St To W 63rd St,S Lawndale Ave And W 59th St,"[41.786065, -87.715607]",S Lawndale Ave And W 63rd St,"[41.778768, -87.715402]",All Good
997,On S Lawndale Ave From W Cermak Rd To W 26th St,S Lawndale Ave And W Cermak Rd,"[41.851664, -87.7174892]",S Lawndale Ave And W 26th St,"[41.844361, -87.717233]",All Good
466,On S Longwood Dr From W 119th St To W 116th St,S Longwood Dr And W 119th St,"[41.67728, -87.675225]",S Longwood Dr And W 116th St,"[41.682878, -87.674099]",All Good
1437,On S Marshfield Ave From W 81st St To W 85th St,S Marshfield Ave And W 81st St,"[41.746688, -87.664587]",S Marshfield Ave And W 85th St,"[41.739399, -87.664378]",All Good
277,On S Normal Ave From W 35th St To W Pershing Rd,S Normal Ave And W 35th St,"[41.830874, -87.638813]",S Normal Ave And W Pershing Rd,"[41.823541, -87.638617]",All Good
1421,On S Paulina St From W 81st St To W 85th St,S Paulina St And W 81st St,"[41.746667, -87.6658]",S Paulina St And W 85th St,"[41.739373, -87.665587]",All Good
1473,On S Peoria St From W 69th St To W 72nd St,S Peoria St And W 69th St,"[41.768811, -87.646929]",S Peoria St And W 72nd St,"[41.763354, -87.646801]",All Good
1484,On S Princeton Ave From S Holland Rd To W 89th St,S Princeton Ave And S Holland Rd,"[41.743527, -87.63187049999999]",S Princeton Ave And W 89th St,"[41.732564, -87.631839]",From Bad
1110,On S Ridgeway Ave From W 15th St To W Ogden Ave,S Ridgeway Ave And W 15th St,"[41.86077, -87.718907]",S Ridgeway Ave And W Ogden Ave,"[41.853165, -87.718713]",All Good
2063,On S St Louis Ave From W 26th St To W 31st St,S St Louis Ave And W 26th St,"[41.8444335, -87.7123412]",S St Louis Ave And W 31st St,"[41.837139, -87.712103]",All Good
2064,On S Throop St From W 31st St To S Archer Ave,S Throop St And W 31st St,"[41.837892, -87.6584553]",S Throop St And S Archer Ave,"[41.843514, -87.654134]",All Good
1768,On S Throop St From W 95th St To W 98th St,S Throop St And W 95th St,"[41.721361, -87.655395]",S Throop St And W 98th St,"[41.7158674, -87.6552362]",All Good
722,On S Union Ave From W 72nd St To W 33rd St,S Union Ave And W 72nd St,"[41.763436, -87.641514]",S Union Ave And W 33rd St,"[41.834428, -87.643742]",All Good
0,On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,S Vincennes Ave And W 103rd St,"[41.7067852, -87.6560249]",S Vincennes Ave And W 10600 S. Vincennes Ave,"[41.701163, -87.658739]",All Good
1540,On S Wallace St From W 44th St To W 47th St,S Wallace St And W 44th St,"[41.8144417, -87.6408133]",S Wallace St And W 47th St,"[41.80898, -87.640657]",All Good
2071,On S Wood St From W 63rd St To W Marquette Rd,S Wood St And W 63rd St,"[41.77944, -87.669093]",S Wood St And W Marquette Rd,"[41.7721444, -87.6688998]",All Good
1983,On W 103rd St From S Springfield Ave To S St Louis Ave,W 103rd St And S Springfield Ave,"[41.705983, -87.718504]",W 103rd St And S St Louis Ave,"[41.706051, -87.708761]",All Good
2033,On W 111th St From S Throop St To S Morgan St,W 111th St And S Throop St,"[41.692204, -87.654552]",W 111th St And S Morgan St,"[41.692291, -87.647248]",All Good
1981,On W 122nd St From S Ashland Ave To S Racine Ave,W 122nd St And S Ashland Ave,"[41.672064, -87.661144]",W 122nd St And S Racine Ave,"[41.6722172, -87.6514585]",All Good
550,On W 125th St From S Parnell Ave To S Wentworth Ave,W 125th St And S Parnell Ave,"[41.6669049, -87.6364202]",W 125th St And S Wentworth Ave,"[41.667055, -87.627123]",All Good
1104,On W 23rd St From S Marshall Blvd To S Rockwell St,W 23rd St And S Marshall Blvd,"[41.850028, -87.699021]",W 23rd St And S Rockwell St,"[41.8501573, -87.6905052]",All Good
1071,On W 26th St From S Keeler Ave To S Hamlin Ave,W 26th St And S Keeler Ave,"[41.844183, -87.729424]",W 26th St And S Hamlin Ave,"[41.844322, -87.719659]",All Good
1120,On W 26th St From S Lawndale Ave To S Christiana Ave,W 26th St And S Lawndale Ave,"[41.844361, -87.717233]",W 26th St And S Christiana Ave,"[41.844493, -87.708693]",All Good
1293,On W 26th St From S Lawndale Ave To S Homan Ave,W 26th St And S Lawndale Ave,"[41.844361, -87.717233]",W 26th St And S Homan Ave,"[41.844478, -87.709893]",All Good
1122,On W 31st St From S Lawndale Ave To S Homan Ave,W 31st St And S Lawndale Ave,"[41.837016, -87.717025]",W 31st St And S Homan Ave,"[41.837179, -87.709691]",All Good
1664,On W 37th St From S Archer Ave To S Paulina St,W 37th St And S Archer Ave,"[41.8298016, -87.6787968]",W 37th St And S Paulina St,"[41.826823, -87.667855]",From Bad
1546,On W 38th St From S Kedzie Ave To S St Louis Ave,W 38th St And S Kedzie Ave,"[41.824439, -87.704444]",W 38th St And S St Louis Ave,"[41.8243039, -87.7117925]",All Good
560,On W 43rd St From S Drake Ave To S Kedzie Ave,W 43rd St And S Drake Ave,"[41.81524255, -87.7126583]",W 43rd St And S Kedzie Ave,"[41.815422, -87.7042608]",All Good
346,On W 54th St From S Kedzie Ave To S St Louis Ave,W 54th St And S Kedzie Ave,"[41.795378, -87.7036]",W 54th St And S St Louis Ave,"[41.7952034, -87.7109268]",All Good
676,On W 54th St From S Linder Ave To S Laramie Ave,W 54th St And S Linder Ave,"[41.7945773, -87.759905]",W 54th St And S Laramie Ave,"[41.794705, -87.752506]",All Good
677,On W 55th St From S Central Ave To S Laramie Ave,W 55th St And S Central Ave,"[41.792736, -87.762197]",W 55th St And S Laramie Ave,"[41.792913, -87.752448]",All Good
140,On W 56th St From S Natoma Ave To S Neva Ave,W 56th St And S Natoma Ave,"[41.790433, -87.787807]",W 56th St And S Neva Ave,"[41.7902299, -87.8001942]",All Good
2042,On W 57th St From S Hamilton Ave To S Wood St,W 57th St And S Hamilton Ave,"[41.7902378, -87.6777406]",W 57th St And S Wood St,"[41.7903315, -87.6693396]",All Good
679,On W 57th St From S Mobile Ave To S Mason Ave,W 57th St And S Mobile Ave,"[41.7887352, -87.7786351]",W 57th St And S Mason Ave,"[41.788912, -87.770652]",All Good
680,On W 59th St From S Kedzie Ave To S Rockwell St,W 59th St And S Kedzie Ave,"[41.786253, -87.703351]",W 59th St And S Rockwell St,"[41.786519, -87.688729]",All Good
878,On W 63rd St From S Laramie Ave To S Cicero Ave,W 63rd St And S Laramie Ave,"[41.778224, -87.752004]",W 63rd St And S Cicero Ave,"[41.778467, -87.742388]",All Good
2068,On W 63rd St From S Sacramento Ave To S Rockwell St,W 63rd St And S Sacramento Ave,"[41.7790463, -87.6982654]",W 63rd St And S Rockwell St,"[41.779191, -87.688532]",All Good
484,On W 70th St From S Ashland Ave To S Justine St,W 70th St And S Ashland Ave,"[41.766374, -87.691865]",W 70th St And S Justine St,"[41.766755, -87.662681]",From Bad
730,On W 71st St From S Bell Ave To S Halsted St,W 71st St And S Bell Ave,"[41.764752, -87.679489]",W 71st St And S Halsted St,"[41.76521, -87.644424]",All Good
879,On W 71st St From S Hoyne Ave To S Halsted St,W 71st St And S Hoyne Ave,"[41.764779, -87.675962]",W 71st St And S Halsted St,"[41.76521, -87.644424]",All Good
686,On W 87th St From S Paulina St To S Ashland Ave,W 87th St And S Paulina St,"[41.7359425, -87.67281514999999]",W 87th St And S Ashland Ave,"[41.735849, -87.662999]",From Bad
1125,On W 88th St From S Racine Ave To S Halsted St,W 88th St And S Racine Ave,"[41.7341, -87.653296]",W 88th St And S Halsted St,"[41.734306, -87.643522]",All Good
2070,On W 95th St From S Ada St To S Morgan St,W 95th St And S Ada St,"[41.721213, -87.656603]",W 95th St And S Morgan St,"[41.721432, -87.648065]",All Good
1269,On W Addison St From N Mobile Ave To N Austin Ave,W Addison St And N Mobile Ave,"[41.945712, -87.783777]",W Addison St And N Austin Ave,"[41.945791, -87.776466]",All Good
1780,On W Bryn Mawr Ave From N Kedzie Ave To N St Louis Ave,W Bryn Mawr Ave And N Kedzie Ave,"[41.983062, -87.708879]",W Bryn Mawr Ave And N St Louis Ave,"[41.982946, -87.716201]",All Good
692,On W Carroll Ave From N Homan Ave To N Albany Ave,W Carroll Ave And N Homan Ave,"[41.887478, -87.711221]",W Carroll Ave And N Albany Ave,"[41.8875501, -87.7038568]",All Good
1055,On W Cermak Rd From S Marshall Blvd To S Rockwell St,W Cermak Rd And S Marshall Blvd,"[41.851873, -87.699086]",W Cermak Rd And S Rockwell St,"[41.851995, -87.690562]",All Good
1989,On W Chestnut St From N Dearborn St To N Orleans St,W Chestnut St And N Dearborn St,"[41.897992, -87.629809]",W Chestnut St And N Orleans St,"[41.898194, -87.637226]",All Good
748,On W Columbus Ave From S Kedzie Ave To W 77th St,W Columbus Ave And S Kedzie Ave,"[41.750484, -87.702428]",W Columbus Ave And W 77th St,"[41.753538, -87.6956577]",All Good
340,On W Cullerton St From S Karlov Ave To S Kostner Ave,W Cullerton St And S Karlov Ave,"[41.8543508, -87.7272642]",W Cullerton St And S Kostner Ave,"[41.85427, -87.734591]",All Good
1565,On W Division St From N Laramie Ave To N Cicero Ave,W Division St And N Laramie Ave,"[41.90226775, -87.7555956]",W Division St And N Cicero Ave,"[41.9023721, -87.7459834]",All Good
1305,On W Flournoy St From S Central Ave To S Homan Ave,W Flournoy St And S Central Ave,"[41.871829, -87.7645011]",W Flournoy St And S Homan Ave,"[41.872736, -87.710762]",All Good
1519,On W Flournoy St From S Laflin St To S Racine Ave,W Flournoy St And S Laflin St,"[41.8733243, -87.6641966]",W Flournoy St And S Racine Ave,"[41.873267, -87.656913]",All Good
1277,On W Forest Preserve Ave From N Ozanam Ave To N Oketo Ave,W Forest Preserve Ave And N Ozanam Ave,"[41.946638, -87.822075]",W Forest Preserve Ave And N Oketo Ave,"[41.951441, -87.812195]",All Good
750,On W Fulton Blvd From N Homan Ave To N Albany Ave,W Fulton Blvd And N Homan Ave,"[41.886382, -87.711185]",W Fulton Blvd And N Albany Ave,"[41.8864518, -87.7038138]",All Good
2008,On W Grand Ave From N Monticello Ave To W Chicago Ave,W Grand Ave And N Monticello Ave,"[41.902773, -87.717776]",W Grand Ave And W Chicago Ave,"[41.895643, -87.69993]",All Good
2006,On W Grand Ave From W Chicago Ave To N Spaulding Ave,W Grand Ave And W Chicago Ave,"[41.895643, -87.69993]",W Grand Ave And N Spaulding Ave,"[41.899406, -87.709424]",All Good
2007,On W Grand Ave From W North Ave To N Cicero Ave,W Grand Ave And W North Ave,"[41.895643, -87.69993]",W Grand Ave And N Cicero Ave,"[41.913969, -87.746043]",From Bad
751,On W Gunnison St From N Nagle Ave To N Mason Ave,W Gunnison St And N Nagle Ave,"[41.9684117, -87.7880289]",W Gunnison St And N Mason Ave,"[41.9685548, -87.7771074]",All Good
905,On W Harrison St From S Albany Ave To S California Ave,W Harrison St And S Albany Ave,"[41.8737166, -87.7034596]",W Harrison St And S California Ave,"[41.873818, -87.696109]",All Good
896,On W Harrison St From S Western Ave To S Hoyne Ave,W Harrison St And S Western Ave,"[41.873935, -87.6861501]",W Harrison St And S Hoyne Ave,"[41.874002, -87.67888]",All Good
1086,On W Ibsen St From N Oriole Ave To N Harlem Ave,W Ibsen St And N Oriole Ave,"[42.0060043, -87.8164539]",W Ibsen St And N Harlem Ave,"[42.006307, -87.80669]",All Good
2003,On W Illinois St From N Kingsbury St To E 19,W Illinois St And N Kingsbury St,"[41.890702, -87.639195]",19 W Illinois St,"[41.89081487907993, -87.62895152664959]",All Good
1262,On W Jarvis Ave From N Oriole Ave To N Harlem Ave,W Jarvis Ave And N Oriole Ave,"[42.015095, -87.816376]",W Jarvis Ave And N Harlem Ave,"[42.015331, -87.8066]",All Good
1577,On W Kinzie St From N Damen Ave To N Ashland Ave,W Kinzie St And N Damen Ave,"[41.8887301, -87.6767984]",W Kinzie St And N Ashland Ave,"[41.8888377, -87.6670209]",All Good
699,On W Lake St From N Central Park Ave To N Sacramento Blvd,W Lake St And N Central Park Ave,"[41.8850454, -87.7168238]",W Lake St And N Sacramento Blvd,"[41.884076, -87.701307]",All Good
1581,On W Madison St From N Damen Ave To N Ashland Ave,W Madison St And N Damen Ave,"[41.8813371, -87.6766987]",W Madison St And N Ashland Ave,"[41.8814808, -87.6668921]",All Good
816,On W Madison St From N Sacramento Blvd To N Homan Blvd,W Madison St And N Sacramento Blvd,"[41.881051, -87.701231]",W Madison St And N Homan Blvd,"[41.88094, -87.711019]",To Bad
1571,On W Maypole Ave From N Wolcott Ave To N Ashland Ave,W Maypole Ave And N Wolcott Ave,"[41.8841452, -87.674273]",W Maypole Ave And N Ashland Ave,"[41.884283, -87.666981]",All Good
137,On W Montrose Ave From N Narragansett Ave To N Austin Ave,W Montrose Ave And N Narragansett Ave,"[41.9602162, -87.786825]",W Montrose Ave And N Austin Ave,"[41.9603599, -87.7770283]",All Good
1643,On W North Ave From N Austin Ave To N Laramie Ave,W North Ave And N Austin Ave,"[41.909322, -87.775501]",W North Ave And N Laramie Ave,"[41.909467, -87.755801]",All Good
1084,On W North Ave From N Hamlin Ave To N Kimball Ave,W North Ave And N Hamlin Ave,"[41.909914, -87.721678]",W North Ave And N Kimball Ave,"[42.002811, -87.714248]",To Bad
