,location_name,from,to,from_lat_long,to_lat_long
390,On W Estes Ave From N Ionia Ave To N Mason Ave,W Estes Ave And N Ionia Ave,W Estes Ave And N Mason Ave,"[42.0100376, -87.7756251]","[42.0101393, -87.7741767]"
391,On W Hirsch St From N Spaulding Ave To N Kedzie Ave,W Hirsch St And N Spaulding Ave,W Hirsch St And N Kedzie Ave,"[41.9064535, -87.7093508]","[41.9064863, -87.7069114]"
392,On W Madison St From S Francisco Ave To S Sacramento Blvd,W Madison St And S Francisco Ave,W Madison St And S Sacramento Blvd,"[41.8810754, -87.6987378]","[41.881051, -87.701231]"
393,On W Ohio St From N Kedzie Ave To N Albany Ave,W Ohio St And N Kedzie Ave,W Ohio St And N Albany Ave,"[41.891914, -87.706472]","[41.891921, -87.703967]"
394,On W 46th St From S Laflin St To S Bishop St,W 46th St And S Laflin St,W 46th St And S Bishop St,"[41.8104757, -87.662587]","[41.8104813, -87.6613607]"
395,On W School St From N Octavia Ave To N Oconto Ave,W School St And N Octavia Ave,W School St And N Oconto Ave,"[41.939768, -87.80921]","[41.939792, -87.80798]"
396,On W Washington Blvd From N Laramie Ave To N Latrobe Ave,W Washington Blvd And N Laramie Ave,W Washington Blvd And N Latrobe Ave,"[41.8823853, -87.7551055]","[41.882358, -87.756319]"
397,On W Winnemac Ave From N Glenwood Ave To N Clark St,W Winnemac Ave And N Glenwood Ave,W Winnemac Ave And N Clark St,"[41.9734097, -87.6647005]","[41.9734077, -87.6680938]"
407,On W School St From N Western Ave To N Claremont Ave,W School St And N Western Ave,W School St And N Claremont Ave,"[41.9412976, -87.6880774]","[41.941314, -87.68687]"
408,On W 122nd St From S Perry Ave To S Lafayette Ave,W 122nd St And S Perry Ave,W 122nd St And S Lafayette Ave,"[41.672491, -87.624844]","[41.672488, -87.623644]"
410,On W 101st St From S Oakley Ave To S Bell Ave,W 101st St And S Oakley Ave,W 101st St And S Bell Ave,"[41.7100441, -87.6793254]","[41.7100681, -87.6781023]"
411,On N Fairfield Ave From W Augusta Blvd To W Iowa St,N Fairfield Ave And W Augusta Blvd,N Fairfield Ave And W Iowa St,"[41.8992998, -87.6955649]","[41.8974882, -87.695525]"
412,On N Hoyne Ave From W Moffat St To W Churchill St,N Hoyne Ave And W Moffat St,N Hoyne Ave And W Churchill St,"[41.9154247, -87.6800219]","[41.9146809, -87.6800125]"
413,On N Keeler Ave From N Sauganash Ave To W Glenlake Ave,N Keeler Ave And N Sauganash Ave,N Keeler Ave And W Glenlake Ave,"[41.9906267, -87.7340204]","[41.9919265, -87.7337284]"
414,On N Kenneth Ave From W Lawrence Ave To W Ainslie St,N Kenneth Ave And W Lawrence Ave,N Kenneth Ave And W Ainslie St,"[41.968141, -87.739177]","[41.969965, -87.73921]"
415,On N Kilbourn Ave From W Carmen Ave To N Kentucky Ave,N Kilbourn Ave And W Carmen Ave,N Kilbourn Ave And N Kentucky Ave,"[41.9735822, -87.7406109]","[41.9709098, -87.740512]"
416,On N Laporte Ave From W Palmer St To W Belden Ave,N Laporte Ave And W Palmer St,N Laporte Ave And W Belden Ave,"[41.9205376, -87.7498697]","[41.9223563, -87.7498819]"
417,On W 108th St From S Sacramento Ave To S Troy St,W 108th St And S Sacramento Ave,W 108th St And S Troy St,"[41.69709, -87.696325]","[41.6970632, -87.6998568]"
418,On N Leavitt St From W Waveland Ave To W Bradley Pl,N Leavitt St And W Waveland Ave,N Leavitt St And W Bradley Pl,"[41.948629, -87.683434]","[41.949531, -87.683465]"
419,On N Lotus Ave From W Addison St To W Waveland Ave,N Lotus Ave And W Addison St,N Lotus Ave And W Waveland Ave,"[41.945935, -87.763033]","[41.947764, -87.763112]"
420,On N Lowell Ave From W Ainslie St To W Argyle St,N Lowell Ave And W Ainslie St,N Lowell Ave And W Argyle St,"[41.969983, -87.736714]","[41.9717999, -87.7367682]"
421,On N Menard Ave From W Lawrence Ave To W Strong St,N Menard Ave And W Lawrence Ave,N Menard Ave And W Strong St,"[41.9677307, -87.7723929]","[41.970318, -87.773432]"
422,On N Nordica Ave From W Devon Ave To W Albion Ave,N Nordica Ave And W Devon Ave,N Nordica Ave And W Albion Ave,"[41.9973045, -87.8027185]","[42.0015202, -87.8029327]"
423,On N Leamington Ave From W Grand Ave To W Dickens Ave,N Leamington Ave And W Grand Ave,N Leamington Ave And W Dickens Ave,"[41.916873, -87.754618]","[41.9186534, -87.7547448]"
424,On N Sayre Ave From W Grace St To W Irving Park Rd,N Sayre Ave And W Grace St,N Sayre Ave And W Irving Park Rd,"[41.9490278, -87.8009838]","[41.952757, -87.801119]"
425,On S Bell Ave From W 101st St To W 102nd St,S Bell Ave And W 101st St,S Bell Ave And W 102nd St,"[41.7100681, -87.6781023]","[41.708239, -87.678516]"
426,On S Dorchester Ave From E Hyde Park Blvd To E 50th St,S Dorchester Ave And E Hyde Park Blvd,S Dorchester Ave And E 50th St,"[41.802453, -87.591863]","[41.804211, -87.591886]"
427,On S Hartwell Ave From E Marquette Rd To E 66th Pl,S Hartwell Ave And E Marquette Rd,S Hartwell Ave And E 66th Pl,"[41.77284, -87.621496]","[41.7741117, -87.6215168]"
428,On S Homan Ave From W 53rd St To W 54th Pl,S Homan Ave And W 53rd St,S Homan Ave And W 54th Pl,"[41.7970949, -87.7085611]","[41.794377, -87.708448]"
429,On S Kenneth Ave From W 55th St To W 54th St,S Kenneth Ave And W 55th St,S Kenneth Ave And W 54th St,"[41.7931228, -87.7342364]","[41.794955, -87.7342594]"
430,On S Michigan Ave From E Marquette Rd To E 66th Pl,S Michigan Ave And E Marquette Rd,S Michigan Ave And E 66th Pl,"[41.772834, -87.621906]","[41.774081, -87.622765]"
431,On S Oakley Ave From W 50th St To W 50th Pl,S Oakley Ave And W 50th St,S Oakley Ave And W 50th Pl,"[41.8029794, -87.6818359]","[41.8020716, -87.6818037]"
432,On S Springfield Ave From W 59th Pl To W 61st Pl,S Springfield Ave And W 59th Pl,S Springfield Ave And W 61st Pl,"[41.78505, -87.720468]","[41.7814254, -87.7203878]"
433,On S Whipple St From W 107th St To W 106th St,S Whipple St And W 107th St,S Whipple St And W 106th St,"[41.6989356, -87.697566]","[41.7007475, -87.6976212]"
434,On N Richmond St From N Lincoln Ave To W Peterson Ave,N Richmond St And N Lincoln Ave,N Richmond St And W Peterson Ave,"[41.987509, -87.702651]","[41.9904184, -87.7030472]"
435,On W Leland Ave From N Kedzie Ave To N Spaulding Ave,W Leland Ave And N Kedzie Ave,W Leland Ave And N Spaulding Ave,"[41.966662, -87.708424]","[41.966649, -87.710889]"
436,On W Glenlake Ave From N Keeler Ave To N Tripp Ave,W Glenlake Ave And N Keeler Ave,W Glenlake Ave And N Tripp Ave,"[41.9919265, -87.7337284]","[41.9919534, -87.734945]"
437,On W Cullerton St From S Karlov Ave To S Kostner Ave,W Cullerton St And S Karlov Ave,W Cullerton St And S Kostner Ave,"[41.8543508, -87.7272642]","[41.85427, -87.734591]"
438,On W Cortland St From N Long Ave To N Luna Ave,W Cortland St And N Long Ave,W Cortland St And N Luna Ave,"[41.9144232, -87.7607413]","[41.9143616, -87.7644056]"
439,On W 46th St From S Pulaski Rd To S Keeler Ave,W 46th St And S Pulaski Rd,W 46th St And S Keeler Ave,"[41.809718, -87.723731]","[41.809639, -87.728513]"
440,On W Argyle St From N Damen Ave To N Hoyne Ave,W Argyle St And N Damen Ave,W Argyle St And N Hoyne Ave,"[41.972398, -87.679317]","[41.97235, -87.681716]"
441,On W 91st St From S Hoyne Ave To S Claremont Ave,W 91st St And S Hoyne Ave,W 91st St And S Claremont Ave,"[41.728347, -87.674538]","[41.728262, -87.681064]"
442,On W 60th St From S Pulaski Rd To S Springfield Ave,W 60th St And S Pulaski Rd,W 60th St And S Springfield Ave,"[41.784109, -87.722989]","[41.784136, -87.720452]"
443,On W 54th St From S Kedzie Ave To S St Louis Ave,W 54th St And S Kedzie Ave,W 54th St And S St Louis Ave,"[41.795378, -87.7036]","[41.7952034, -87.7109268]"
444,On W Carmen Ave From N Kostner Ave To N Kilbourn Ave,W Carmen Ave And N Kostner Ave,W Carmen Ave And N Kilbourn Ave,"[41.9736129, -87.7380627]","[41.9735822, -87.7406109]"
445,On W Moffat St From N Leavitt St To N Hoyne Ave,W Moffat St And N Leavitt St,W Moffat St And N Hoyne Ave,"[41.9153815, -87.6824533]","[41.9154247, -87.6800219]"
447,On W School St From N Olcott Ave To N Oleander Ave,W School St And N Olcott Ave,W School St And N Oleander Ave,"[41.93968, -87.814106]","[41.93965, -87.815324]"
448,On W Wabansia Ave From N Narragansett Ave To N Nashville Ave,W Wabansia Ave And N Narragansett Ave,W Wabansia Ave And N Nashville Ave,"[41.910967, -87.785024]","[41.9108877, -87.7899341]"
449,On W Waveland Ave From N Lotus Ave To N Long Ave,W Waveland Ave And N Lotus Ave,W Waveland Ave And N Long Ave,"[41.947764, -87.763112]","[41.9477781, -87.7618903]"
457,On W 32nd St From S Racine Ave To S Throop St,W 32nd St And S Racine Ave,W 32nd St And S Throop St,"[41.836101, -87.655969]","[41.836065, -87.658375]"
458,On W Peterson Ave From N Melvina Ave To N Nagle Ave,W Peterson Ave And N Melvina Ave,W Peterson Ave And N Nagle Ave,"[41.9901698, -87.7827511]","[41.9901242, -87.7876022]"
459,On W 116th St From S Lafayette Ave To S State St,W 116th St And S Lafayette Ave,W 116th St And S State St,"[41.6825087, -87.6240368]","[41.682538, -87.622812]"
460,On N Sauganash Ave From W Peterson Ave To N Keeler Ave,N Sauganash Ave And W Peterson Ave,N Sauganash Ave And N Keeler Ave,"[41.9900706, -87.7330468]","[41.9906267, -87.7340204]"
461,On S Yale Ave From W 120th St To W 122nd St,S Yale Ave And W 120th St,S Yale Ave And W 122nd St,"[41.676133, -87.628601]","[41.67247, -87.628449]"
463,On N Campbell Ave From W Belle Plaine Ave To W Warner Ave,N Campbell Ave And W Belle Plaine Ave,N Campbell Ave And W Warner Ave,"[41.955828, -87.690971]","[41.956761, -87.690985]"
464,On N Hoyne Ave From W Argyle St To W Ainslie St,N Hoyne Ave And W Argyle St,N Hoyne Ave And W Ainslie St,"[41.97235, -87.681716]","[41.970524, -87.681657]"
465,On N Ionia Ave From W Fitch Ave To N Tonty Ave,N Ionia Ave And W Fitch Ave,N Ionia Ave And N Tonty Ave,"[42.0109843, -87.7764191]","[42.007385, -87.774485]"
466,On N Keeler Ave From W Ainslie St To W Argyle St,N Keeler Ave And W Ainslie St,N Keeler Ave And W Argyle St,"[41.970025, -87.732986]","[41.9718381, -87.7330845]"
467,On N Kennison Ave From N Kilbourn Ave To N Kolmar Ave,N Kennison Ave And N Kilbourn Ave,N Kennison Ave And N Kolmar Ave,"[41.9719946, -87.7405291]","[41.9728957, -87.7420977]"
468,On N Kostner Ave From W Foster Ave To W Carmen Ave,N Kostner Ave And W Foster Ave,N Kostner Ave And W Carmen Ave,"[41.9753869, -87.7380763]","[41.9736129, -87.7380627]"
469,On N Laramie Ave From W Diversey Ave To W Nelson St,N Laramie Ave And W Diversey Ave,N Laramie Ave And W Nelson St,"[41.931413, -87.75639]","[41.935978, -87.756589]"
470,On N Leavitt St From W Armitage Ave To W Moffat St,N Leavitt St And W Armitage Ave,N Leavitt St And W Moffat St,"[41.917671, -87.682488]","[41.9153815, -87.6824533]"
471,On N Leclaire Ave From W Parker Ave To W Montana St,N Leclaire Ave And W Parker Ave,N Leclaire Ave And W Montana St,"[41.930524, -87.753933]","[41.925088, -87.753707]"
472,On N Lotus Ave From W Bloomingdale Ave To W Cortland St,N Lotus Ave And W Bloomingdale Ave,N Lotus Ave And W Cortland St,"[41.9130913, -87.7619081]","[41.914404, -87.7619631]"
473,On N Melvina Ave From N Milwaukee Ave To W Peterson Ave,N Melvina Ave And N Milwaukee Ave,N Melvina Ave And W Peterson Ave,"[41.992295, -87.782888]","[41.9901698, -87.7827511]"
474,On N Ottawa Ave From W Touhy Ave To W Chase Ave,N Ottawa Ave And W Touhy Ave,N Ottawa Ave And W Chase Ave,"[42.011419, -87.817593]","[42.013273, -87.817587]"
475,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave,"[41.96845, -87.710959]","[41.966649, -87.710889]"
476,On S Cregier Ave From E 83rd Pl To E 86th St,S Cregier Ave And E 83rd Pl,S Cregier Ave And E 86th St,"[41.743356, -87.58071]","[41.7387842, -87.580589]"
477,On S Green St From W 106th St To W 107th St,S Green St And W 106th St,S Green St And W 107th St,"[41.701443, -87.643888]","[41.699629, -87.643833]"
478,On S Harvard Ave From W 120th St To W 122nd St,S Harvard Ave And W 120th St,S Harvard Ave And W 122nd St,"[41.676118, -87.631033]","[41.672437, -87.630898]"
479,On S Hoyne Ave From W 101st St To W 102nd St,S Hoyne Ave And W 101st St,S Hoyne Ave And W 102nd St,"[41.7101522, -87.6744814]","[41.708294, -87.675248]"
480,On S Lawndale Ave From W 61st St To W 63rd St,S Lawndale Ave And W 61st St,S Lawndale Ave And W 63rd St,"[41.782383, -87.715509]","[41.778768, -87.715402]"
481,On S Oakley Ave From W 101st St To W 102nd St,S Oakley Ave And W 101st St,S Oakley Ave And W 102nd St,"[41.7100441, -87.6793254]","[41.708223, -87.6800533]"
482,On S Princeton Ave From W 120th St To W 122nd St,S Princeton Ave And W 120th St,S Princeton Ave And W 122nd St,"[41.676122, -87.629843]","[41.672486, -87.629723]"
483,On S St Louis Ave From W 83rd Pl To W 85th St,S St Louis Ave And W 83rd Pl,S St Louis Ave And W 85th St,"[41.7414764, -87.70948]","[41.738757, -87.709386]"
484,On S Wabash Ave From E Marquette Rd To E 66th Pl,S Wabash Ave And E Marquette Rd,S Wabash Ave And E 66th Pl,"[41.772833, -87.62395]","[41.774061, -87.623975]"
485,On N Monticello Ave From W Ohio St To W Ferdinand St,N Monticello Ave And W Ohio St,N Monticello Ave And W Ferdinand St,"[41.8917758, -87.7174368]","[41.88995, -87.717398]"
487,On S Troy St From W Jackson Blvd To W Fifth Ave,S Troy St And W Jackson Blvd,S Troy St And W Fifth Ave,"[41.877358, -87.704825]","[41.87867, -87.705065]"
488,On W Jackson Blvd From S Kedzie Ave To S Albany Ave,W Jackson Blvd And S Kedzie Ave,W Jackson Blvd And S Albany Ave,"[41.877346, -87.70604]","[41.877366, -87.703584]"
489,On W Fifth Ave From S Troy St To S Albany Ave,W Fifth Ave And S Troy St,W Fifth Ave And S Albany Ave,"[41.87867, -87.705065]","[41.878998, -87.703838]"
490,On N Paulina St From W Farragut Ave To W Berwyn Ave,N Paulina St And W Farragut Ave,N Paulina St And W Berwyn Ave,"[41.977009, -87.672105]","[41.9779685, -87.6721169]"
491,On W Farragut Ave From N Ravenswood Ave To N Paulina St,W Farragut Ave And N Ravenswood Ave,W Farragut Ave And N Paulina St,"[41.977038, -87.675055]","[41.977009, -87.672105]"
493,On N Ravenswood Ave From W Balmoral Ave To W Farragut Ave,N Ravenswood Ave And W Balmoral Ave,N Ravenswood Ave And W Farragut Ave,"[41.9797511, -87.6751209]","[41.977038, -87.675055]"
494,On W Winona St From N Winchester Ave To N Wolcott Ave,W Winona St And N Winchester Ave,W Winona St And N Wolcott Ave,"[41.974725, -87.67784]","[41.974756, -87.676411]"
496,On N Hiawatha Ave From W Peterson Ave To N Forest Glen Avee,N Hiawatha Ave And W Peterson Ave,N Hiawatha Ave And N Forest Glen Avee,"[41.990087200000005, -87.7420321]","[41.9902461, -87.742291]"
497,On N Oriole Ave From W Jarvis Ave To W Birchwood Ave,N Oriole Ave And W Jarvis Ave,N Oriole Ave And W Birchwood Ave,"[42.015095, -87.8163764]","[42.016936, -87.816354]"
498,On N Overhill Ave From W Jarvis Ave To W Sherwin Ave,N Overhill Ave And W Jarvis Ave,N Overhill Ave And W Sherwin Ave,"[42.0150532, -87.8187831]","[42.0141385, -87.8188146]"
499,On W Devon Ave From N Spokane Ave To N Caldwell Ave,W Devon Ave And N Spokane Ave,W Devon Ave And N Caldwell Ave,"[41.997336, -87.760727]","[41.997316, -87.766935]"
500,On N Leoti Ave From N Le Mai Ave To N Spokane Ave,N Leoti Ave And N Le Mai Ave,N Leoti Ave And N Spokane Ave,"[41.9954399, -87.7580216]","[41.9968845, -87.7611487]"
501,On N Spokane Ave From N Leoti Ave To W Devon Ave,N Spokane Ave And N Leoti Ave,N Spokane Ave And W Devon Ave,"[41.9968845, -87.7611487]","[41.997336, -87.760727]"
502,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave,"[42.015095, -87.816376]","[42.0150532, -87.8187831]"
504,On S Damen Ave From W 100th St To W 101st St,S Damen Ave And W 100th St,S Damen Ave And W 101st St,"[41.7120138, -87.6721251]","[41.710202, -87.6720715]"
505,On S Seeley Ave From W 101st St To W 101st Pl,S Seeley Ave And W 101st St,S Seeley Ave And W 101st Pl,"[41.7101644, -87.6736224]","[41.7090229, -87.6737223]"
506,On W 116th St From S Western Ave To S Maplewood Ave,W 116th St And S Western Ave,W 116th St And S Maplewood Ave,"[41.68273, -87.680947]","[41.6826856, -87.684571]"
508,On W 101st St From S Damen Ave To S Bell Ave,W 101st St And S Damen Ave,W 101st St And S Bell Ave,"[41.710202, -87.6720715]","[41.7100681, -87.6781023]"
509,On W 118th St From S Western Ave To S Maplewood Ave,W 118th St And S Western Ave,W 118th St And S Maplewood Ave,"[41.679109, -87.680833]","[41.6790503, -87.6844434]"
510,On E 75th St From S Kingston Ave To S Phillips Ave,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]"
511,On S Drexel Ave From E 65th St To E 64th St,S Drexel Ave And E 65th St,S Drexel Ave And E 64th St,"[41.776781, -87.603422]","[41.7786283, -87.602847]"
512,850-910 E 64th St,850 E 64th St,910 E 64th St,"[41.77867169366854, -87.60366619430624]","[41.77867477640572, -87.60308753185411]"
514,On S Phillips Ave From E 73rd St To E 72nd St,S Phillips Ave And E 73rd St,S Phillips Ave And E 72nd St,"[41.762641, -87.564909]","[41.764439, -87.565772]"
515,On N Allen Ave From N Kimball Ave To N Milwaukee Ave,N Allen Ave And N Kimball Ave,N Allen Ave And N Milwaukee Ave,"[41.936658, -87.712395]","[41.9339097, -87.7152885]"
516,On N Elbridge Ave From W Barry Ave To N Drake Ave,N Elbridge Ave And W Barry Ave,N Elbridge Ave And N Drake Ave,"[41.9374432, -87.7145293]","[41.9363659, -87.7157343]"
517,On W Barry Ave From N Bernard St To N Elbridge Ave,W Barry Ave And N Bernard St,W Barry Ave And N Elbridge Ave,"[41.937466, -87.713664]","[41.9374432, -87.7145293]"
518,On W Barry Ave From N Elbridge Ave To N Drake Ave,W Barry Ave And N Elbridge Ave,W Barry Ave And N Drake Ave,"[41.9374432, -87.7145293]","[41.937429, -87.716124]"
520,On N Kilbourn Ave From W Diversey Ave To W Parker Ave,N Kilbourn Ave And W Diversey Ave,N Kilbourn Ave And W Parker Ave,"[41.931657, -87.739232]","[41.930639, -87.739201]"
521,On W Barry Ave From N Bernard St To N Gresham Ave,W Barry Ave And N Bernard St,W Barry Ave And N Gresham Ave,"[41.937466, -87.713664]","[41.937471, -87.712972]"
523,On E 92nd St From S Cottage Grove Ave To S St Lawrence Ave,E 92nd St And S Cottage Grove Ave,E 92nd St And S St Lawrence Ave,"[41.727522, -87.604696]","[41.7274443, -87.6094247]"
525,On E 94th St From S Dr Martin Luther King Jr Dr To S Wabash Ave,E 94th St And S Dr Martin Luther King Jr Dr,E 94th St And S Wabash Ave,"[41.723716, -87.614201]","[41.723573, -87.62227]"
526,On W 77th St From S Ada St To S Loomis Blvd,W 77th St And S Ada St,W 77th St And S Loomis Blvd,"[41.754078, -87.657062]","[41.754071, -87.658693]"
527,On W 86th St From S Bishop St To S Laflin St,W 86th St And S Bishop St,W 86th St And S Laflin St,"[41.737652, -87.659468]","[41.737643, -87.660691]"
528,On W 86th St From S Elizabeth St To S Throop St,W 86th St And S Elizabeth St,W 86th St And S Throop St,"[41.737724, -87.654607]","[41.737705, -87.655834]"
529,On W 86th St From S Racine Ave To S Elizabeth St,W 86th St And S Racine Ave,W 86th St And S Elizabeth St,"[41.737744, -87.653399]","[41.737724, -87.654607]"
530,On W 79th St From S Throop St To S Ada St,W 79th St And S Throop St,W 79th St And S Ada St,"[41.750456, -87.656167]","[41.750444, -87.656992]"
531,On W 86th St From S Laflin St To S Justine St,W 86th St And S Laflin St,W 86th St And S Justine St,"[41.737643, -87.660691]","[41.737632, -87.661916]"
532,On E 80th St From S Evans Ave To S Vernon Ave,E 80th St And S Evans Ave,E 80th St And S Vernon Ave,"[41.749415, -87.606412]","[41.749307, -87.613657]"
533,On E 82nd St From S Merrill Ave To S Jeffery Blvd,E 82nd St And S Merrill Ave,E 82nd St And S Jeffery Blvd,"[41.74619, -87.572284]","[41.746149, -87.57589]"
534,On N Leavitt St From W Lawrence Ave To W Leland Ave,N Leavitt St And W Lawrence Ave,N Leavitt St And W Leland Ave,"[41.9686617, -87.6840145]","[41.9668657, -87.6839924]"
536,On W Hollywood Ave From N Lincoln Ave To N Rockwell Ave,W Hollywood Ave And N Lincoln Ave,W Hollywood Ave And N Rockwell Ave,"[41.9851257, -87.69908845]","[41.984959, -87.69435]"
537,On E 101st St From S Avenue M To S Avenue L,E 101st St And S Avenue M,E 101st St And S Avenue L,"[41.711963, -87.537701]","[41.711966, -87.536459]"
540,On E 101st St From S Avenue N To S Avenue M,E 101st St And S Avenue N,E 101st St And S Avenue M,"[41.711957, -87.53892]","[41.711963, -87.537701]"
541,On S Avenue F From E 104th St To E 105th St,S Avenue F And E 104th St,S Avenue F And E 105th St,"[41.706381, -87.530417]","[41.704545, -87.530453]"
543,On S Perry Ave From W 112th St To W 113th St,S Perry Ave And W 112th St,S Perry Ave And W 113th St,"[41.69074, -87.625784]","[41.688915, -87.625728]"
544,On W 128th Pl From S Halsted St To S Peoria St,W 128th Pl And S Halsted St,W 128th Pl And S Peoria St,"[41.660454, -87.64127]","[41.660452, -87.643757]"
546,On S Lawndale Ave From W 85th St To W 86th St,S Lawndale Ave And W 85th St,S Lawndale Ave And W 86th St,"[41.738645, -87.714255]","[41.736818, -87.714204]"
547,On W 68th St From S Kolmar Ave To S Kilbourn Ave,W 68th St And S Kolmar Ave,W 68th St And S Kilbourn Ave,"[41.7694367, -87.7357373]","[41.769383, -87.734713]"
549,On S Kolmar Ave From W Marquette Rd To W 68th St,S Kolmar Ave And W Marquette Rd,S Kolmar Ave And W 68th St,"[41.771199, -87.736005]","[41.7694367, -87.7357373]"
550,On W 60th St From S Monitor Ave To S Mason Ave,W 60th St And S Monitor Ave,W 60th St And S Mason Ave,"[41.783434, -87.7680205]","[41.783426, -87.770468]"
551,On W 86th St From S Lawndale Ave To S Central Park Ave,W 86th St And S Lawndale Ave,W 86th St And S Central Park Ave,"[41.736818, -87.714204]","[41.736856, -87.712018]"
571,On E 85th St From S Indiana Ave To S St Lawrence Ave,E 85th St And S Indiana Ave,E 85th St And S St Lawrence Ave,"[41.7400879, -87.6195382]","[41.7402392, -87.6097909]"
572,On E 96th St From S Houston Ave To S Commercial Ave,E 96th St And S Houston Ave,E 96th St And S Commercial Ave,"[41.720949, -87.549677]","[41.720915, -87.551064]"
573,On E 87th St From S State St To S Wabash Ave,E 87th St And S State St,E 87th St And S Wabash Ave,"[41.736224, -87.624194]","[41.736379, -87.622622]"
575,On W 72nd St From S Avers Ave To S Hamlin Ave,W 72nd St And S Avers Ave,W 72nd St And S Hamlin Ave,"[41.7623251, -87.7186716]","[41.7623478, -87.7174553]"
579,On E 80th St From S Woodlawn Ave To S University Ave,E 80th St And S Woodlawn Ave,E 80th St And S University Ave,"[41.749548, -87.5953846]","[41.7494131, -87.5966695]"
580,On E 88th St From S Burley Ave To S Mackinaw Ave,E 88th St And S Burley Ave,E 88th St And S Mackinaw Ave,"[41.735632, -87.5458324]","[41.735635, -87.543111]"
581,On S St Lawrence Ave From E 83rd St To E 84th St,S St Lawrence Ave And E 83rd St,S St Lawrence Ave And E 84th St,"[41.743893, -87.60989]","[41.7420497, -87.6098173]"
582,On W 62nd St From S Hoyne Ave To S Seeley Ave,W 62nd St And S Hoyne Ave,W 62nd St And S Seeley Ave,"[41.7811703, -87.6761572]","[41.781147, -87.67516]"
583,On W 92nd St From S Normal Ave To S Eggleston Ave,W 92nd St And S Normal Ave,W 92nd St And S Eggleston Ave,"[41.7270372, -87.6360978]","[41.72706, -87.6349312]"
584,On W 93rd St From S Wentworth Ave To S La Salle St,W 93rd St And S Wentworth Ave,W 93rd St And S La Salle St,"[41.725302, -87.628735]","[41.72532, -87.627538]"
586,On E 86th St From S St Lawrence Ave To S Champlain Ave,E 86th St And S St Lawrence Ave,E 86th St And S Champlain Ave,"[41.7383918, -87.6097169]","[41.7383967, -87.6085814]"
587,On E 94th St From S Woodlawn Ave To S Kimbark Ave,E 94th St And S Woodlawn Ave,E 94th St And S Kimbark Ave,"[41.7240641, -87.5948225]","[41.72408, -87.592427]"
588,On W 122nd St From S Loomis St To S Bishop St,W 122nd St And S Loomis St,W 122nd St And S Bishop St,"[41.6721407, -87.6563175]","[41.6720456, -87.6574242]"
589,On W 91st St From S Normal Ave To S Eggleston Ave,W 91st St And S Normal Ave,W 91st St And S Eggleston Ave,"[41.7288906, -87.6361516]","[41.7288828, -87.6349684]"
590,On W 93rd St From S Normal Ave To S Eggleston Ave,W 93rd St And S Normal Ave,W 93rd St And S Eggleston Ave,"[41.7252111, -87.6360544]","[41.7252407, -87.6348959]"
591,On W 94th St From S Normal Ave To S Eggleston Ave,W 94th St And S Normal Ave,W 94th St And S Eggleston Ave,"[41.7233851, -87.6360026]","[41.7234127, -87.6347817]"
593,On W Hollywood Ave From N Rockwell St To N Washtenaw Ave,W Hollywood Ave And N Rockwell St,W Hollywood Ave And N Washtenaw Ave,"[41.984959, -87.69435]","[41.9849578, -87.6967908]"
594,On N Lamon Ave From W Bloomingdale Ave To W Concord Pl,N Lamon Ave And W Bloomingdale Ave,N Lamon Ave And W Concord Pl,"[41.9132379, -87.7492919]","[41.9104947, -87.7492221]"
595,On N Laramie Ave From W Bloomingdale Ave To W Concord Pl,N Laramie Ave And W Bloomingdale Ave,N Laramie Ave And W Concord Pl,"[41.9131729, -87.7558008]","[41.91041, -87.755655]"
597,613-700 W 77th St,613 W 77th St,700 W 77th St,"[41.75429874915207, -87.64018874042996]","[41.75434763177717, -87.64211784388156]"
599,On S Avenue O From E 133rd St To E 135th St,S Avenue O And E 133rd St,S Avenue O And E 135th St,"[41.6536643, -87.5398392]","[41.650015, -87.539887]"
600,On S Halsted St From W 75th St To W 78th St,S Halsted St And W 75th St,S Halsted St And W 78th St,"[41.75773, -87.644232]","[41.752467, -87.644107]"
623,On W North Shore Ave From N Western Ave To N Talman Ave,W North Shore Ave And N Western Ave,W North Shore Ave And N Talman Ave,"[42.0032061, -87.6899863]","[42.003061, -87.696163]"
624,On W Belle Plaine Ave From N Whipple St To N Sacramento Ave,W Belle Plaine Ave And N Whipple St,W Belle Plaine Ave And N Sacramento Ave,"[41.955762, -87.70442]","[41.955763, -87.703187]"
625,On W Belle Plaine Ave From N Troy St To N Kedzie Ave,W Belle Plaine Ave And N Troy St,W Belle Plaine Ave And N Kedzie Ave,"[41.955759, -87.706844]","[41.955753, -87.708059]"
626,On W Belle Plaine Ave From N Lawndale Ave To N Ridgeway Ave,W Belle Plaine Ave And N Lawndale Ave,W Belle Plaine Ave And N Ridgeway Ave,"[41.9555911, -87.7203285]","[41.955573, -87.721539]"
627,On W Altgeld St From N Sawyer Ave To N Kedzie Blvd,W Altgeld St And N Sawyer Ave,W Altgeld St And N Kedzie Blvd,"[41.926529, -87.709329]","[41.926533, -87.707606]"
