,all_locations,api_address,lat_long,location_object,quality
3911,E Goethe St And N Astor St,"E Goethe St & N Astor St, Chicago, IL 60610","[41.905838, -87.627309]","<[OK] Bing - Geocode [E Goethe St & N Astor St, Chicago, IL 60610]>",RoadIntersection
2040,E Goethe St And N State Pkwy,"E Goethe St & N State Pkwy, Chicago, IL 60610","[41.9058145, -87.6287349]","<[OK] Bing - Geocode [E Goethe St & N State Pkwy, Chicago, IL 60610]>",RoadIntersection
2086,E Harrison St And S State St,"E Harrison St & S State St, Chicago, IL 60605","[41.8743701, -87.6275143]","<[OK] Bing - Geocode [E Harrison St & S State St, Chicago, IL 60605]>",RoadIntersection
3955,E Harrison St And S Wabash Ave,"E Harrison St & S Wabash Ave, Chicago, IL 60605","[41.8744101, -87.6260276]","<[OK] Bing - Geocode [E Harrison St & S Wabash Ave, Chicago, IL 60605]>",RoadIntersection
1996,E Jackson Blvd And S Wabash Ave,"E Jackson Blvd & S Wabash Ave, Chicago, IL 60604","[41.87825, -87.626068]","<[OK] Bing - Geocode [E Jackson Blvd & S Wabash Ave, Chicago, IL 60604]>",RoadIntersection
3912,E North Ave And N Astor St,"E North Ave & N Astor St, Chicago, IL 60610","[41.9112521, -87.6276485]","<[OK] Bing - Geocode [E North Ave & N Astor St, Chicago, IL 60610]>",RoadIntersection
2041,E North Ave And N State Pkwy,"E North Ave & N State Pkwy, Chicago, IL 60610","[41.911222, -87.6288633]","<[OK] Bing - Geocode [E North Ave & N State Pkwy, Chicago, IL 60610]>",RoadIntersection
178,E Oakwood Blvd And S Langley Ave,"E Oakwood Blvd & S Langley Ave, Chicago, IL 60653","[41.822738, -87.609784]","<[OK] Bing - Geocode [E Oakwood Blvd & S Langley Ave, Chicago, IL 60653]>",RoadIntersection
2352,E Oakwood Blvd And S Vincennes Ave,"E Oakwood Blvd & S Vincennes Ave, Chicago, IL 60653","[41.822698, -87.612877]","<[OK] Bing - Geocode [E Oakwood Blvd & S Vincennes Ave, Chicago, IL 60653]>",RoadIntersection
3875,E Ohio St And N Michigan Ave,"E Ohio St & N Michigan Ave, Chicago, IL 60611","[41.892558, -87.624101]","<[OK] Bing - Geocode [E Ohio St & N Michigan Ave, Chicago, IL 60611]>",RoadIntersection
3956,E Ohio St And N St Clair St,"E Ohio St & N Saint Clair St, Chicago, IL 60611","[41.892576, -87.622704]","<[OK] Bing - Geocode [E Ohio St & N Saint Clair St, Chicago, IL 60611]>",RoadIntersection
1997,E Ohio St And N State St,"E Ohio St & N State St, Chicago, IL 60611","[41.892492, -87.628083]","<[OK] Bing - Geocode [E Ohio St & N State St, Chicago, IL 60611]>",RoadIntersection
3453,E Ontario St And N Michigan Ave,"E Ontario St & N Michigan Ave, Chicago, IL 60611","[41.8933415, -87.6242939]","<[OK] Bing - Geocode [E Ontario St & N Michigan Ave, Chicago, IL 60611]>",RoadIntersection
1514,E Ontario St And N St Clair St,"E Ontario St & N Saint Clair St, Chicago, IL 60611","[41.8933579, -87.6227094]","<[OK] Bing - Geocode [E Ontario St & N Saint Clair St, Chicago, IL 60611]>",RoadIntersection
3913,E Schiller St And N Astor St,"E Schiller St & N Astor St, Chicago, IL 60610","[41.9078149, -87.6275602]","<[OK] Bing - Geocode [E Schiller St & N Astor St, Chicago, IL 60610]>",RoadIntersection
2042,E Schiller St And N State Pkwy,"E Schiller St & N State Pkwy, Chicago, IL 60610","[41.9078001, -87.6288027]","<[OK] Bing - Geocode [E Schiller St & N State Pkwy, Chicago, IL 60610]>",RoadIntersection
1297,N Aberdeen St And W Carroll Ave,"N Aberdeen St & W Carroll Ave, Chicago, IL 60607","[41.887725, -87.654518]","<[OK] Bing - Geocode [N Aberdeen St & W Carroll Ave, Chicago, IL 60607]>",RoadIntersection
3405,N Aberdeen St And W Hubbard St,"N Aberdeen St & W Hubbard St, Chicago, IL 60642","[41.890026, -87.654597]","<[OK] Bing - Geocode [N Aberdeen St & W Hubbard St, Chicago, IL 60642]>",RoadIntersection
1464,N Aberdeen St And W Kinzie St,"N Aberdeen St & W Kinzie St, Chicago, IL 60642","[41.888967, -87.654564]","<[OK] Bing - Geocode [N Aberdeen St & W Kinzie St, Chicago, IL 60642]>",RoadIntersection
769,N Ada St And N Ogden Ave,"N Ada St & N Ogden Ave, Chicago, IL 60607","[41.888011, -87.6610115]","<[OK] Bing - Geocode [N Ada St & N Ogden Ave, Chicago, IL 60607]>",RoadIntersection
1515,N Ada St And W Chicago Ave,"N Ada St & W Chicago Ave, Chicago, IL 60642","[41.89603475, -87.65995185]","<[OK] Bing - Geocode [N Ada St & W Chicago Ave, Chicago, IL 60642]>",RoadIntersection
718,N Ada St And W Hubbard St,"N Ada St & W Hubbard St, Chicago, IL 60642","[41.889962, -87.660865]","<[OK] Bing - Geocode [N Ada St & W Hubbard St, Chicago, IL 60642]>",RoadIntersection
3454,N Ada St And W Huron St,"N Ada St & W Huron St, Chicago, IL 60642","[41.89457935, -87.65884894999999]","<[OK] Bing - Geocode [N Ada St & W Huron St, Chicago, IL 60642]>",RoadIntersection
2721,N Ada St And W Kinzie St,"N Ada St & W Kinzie St, Chicago, IL 60642","[41.888936, -87.660865]","<[OK] Bing - Geocode [N Ada St & W Kinzie St, Chicago, IL 60642]>",RoadIntersection
2770,N Ada St And W Madison St,"N Ada St & W Madison St, Chicago, IL 60607","[41.8815137, -87.6605694]","<[OK] Bing - Geocode [N Ada St & W Madison St, Chicago, IL 60607]>",RoadIntersection
3406,N Albany Ave And W Argyle St,"N Albany Ave & W Argyle St, Chicago, IL 60625","[41.972105, -87.706136]","<[OK] Bing - Geocode [N Albany Ave & W Argyle St, Chicago, IL 60625]>",RoadIntersection
1465,N Albany Ave And W Carmen Ave,"N Albany Ave & W Carmen Ave, Chicago, IL 60625","[41.9739684, -87.706205]","<[OK] Bing - Geocode [N Albany Ave & W Carmen Ave, Chicago, IL 60625]>",RoadIntersection
770,N Albany Ave And W Lawrence Ave,"N Albany Ave & W Lawrence Ave, Chicago, IL 60625","[41.968466, -87.706038]","<[OK] Bing - Geocode [N Albany Ave & W Lawrence Ave, Chicago, IL 60625]>",RoadIntersection
2088,N Albany Ave And W Leland Ave,"N Albany Ave & W Leland Ave, Chicago, IL 60625","[41.966648, -87.706007]","<[OK] Bing - Geocode [N Albany Ave & W Leland Ave, Chicago, IL 60625]>",RoadIntersection
3957,N Albany Ave And W Wilson Ave,"N Albany Ave & W Wilson Ave, Chicago, IL 60625","[41.96474, -87.705896]","<[OK] Bing - Geocode [N Albany Ave & W Wilson Ave, Chicago, IL 60625]>",RoadIntersection
479,N Allen Ave And N Kimball Ave,"N Allen Ave & N Kimball Ave, Chicago, IL 60618","[41.936658, -87.712395]","<[OK] Bing - Geocode [N Allen Ave & N Kimball Ave, Chicago, IL 60618]>",RoadIntersection
2568,N Allen Ave And N Milwaukee Ave,"N Allen Ave & N Milwaukee Ave, Chicago, IL 60618","[41.9339097, -87.7152885]","<[OK] Bing - Geocode [N Allen Ave & N Milwaukee Ave, Chicago, IL 60618]>",RoadIntersection
1516,N Artesian Ave And W Birchwood Ave,"N Artesian Ave & W Birchwood Ave, Chicago, IL 60645","[42.0176945, -87.6913285]","<[OK] Bing - Geocode [N Artesian Ave & W Birchwood Ave, Chicago, IL 60645]>",RoadIntersection
3455,N Artesian Ave And W Fargo Ave,"N Artesian Ave & W Fargo Ave, Chicago, IL 60645","[42.0168076, -87.691393]","<[OK] Bing - Geocode [N Artesian Ave & W Fargo Ave, Chicago, IL 60645]>",RoadIntersection
3280,N Artesian Ave And W North Shore Ave,"N Artesian Ave & W North Shore Ave, Chicago, IL 60645","[42.003155, -87.691262]","<[OK] Bing - Geocode [N Artesian Ave & W North Shore Ave, Chicago, IL 60645]>",RoadIntersection
1998,N Artesian Ave And W Ohio St,"N Artesian Ave & W Ohio St, Chicago, IL 60612","[41.892111, -87.688015]","<[OK] Bing - Geocode [N Artesian Ave & W Ohio St, Chicago, IL 60612]>",RoadIntersection
1324,N Artesian Ave And W Pratt Blvd,"N Artesian Ave & W Pratt Blvd, Chicago, IL 60645","[42.004993, -87.691298]","<[OK] Bing - Geocode [N Artesian Ave & W Pratt Blvd, Chicago, IL 60645]>",RoadIntersection
3055,N Ashland Ave And W Diversey Pkwy,"N Ashland Ave & W Diversey Pkwy, Chicago, IL 60614","[41.932443, -87.66832]","<[OK] Bing - Geocode [N Ashland Ave & W Diversey Pkwy, Chicago, IL 60614]>",RoadIntersection
1078,N Ashland Ave And W Wellington Ave,"N Ashland Ave & W Wellington Ave, Chicago, IL 60657","[41.9360246, -87.6685913]","<[OK] Bing - Geocode [N Ashland Ave & W Wellington Ave, Chicago, IL 60657]>",RoadIntersection
3057,N Austin Ave And N Milwaukee Ave,"N Austin Ave & N Milwaukee Ave, Chicago, IL 60646","[41.9868834, -87.7779674]","<[OK] Bing - Geocode [N Austin Ave & N Milwaukee Ave, Chicago, IL 60646]>",RoadIntersection
3099,N Austin Ave And N Northwest Hwy,"N Austin Ave & N Northwest Hwy, Chicago, IL 60630","[41.980553, -87.778095]","<[OK] Bing - Geocode [N Austin Ave & N Northwest Hwy, Chicago, IL 60630]>",RoadIntersection
3877,N Austin Ave And W Addison St,"N Austin Ave & W Addison St, Chicago, IL 60634","[41.945791, -87.776466]","<[OK] Bing - Geocode [N Austin Ave & W Addison St, Chicago, IL 60634]>",RoadIntersection
2043,N Austin Ave And W Belmont Ave,"N Austin Ave & W Belmont Ave, Chicago, IL 60634","[41.938456, -87.776192]","<[OK] Bing - Geocode [N Austin Ave & W Belmont Ave, Chicago, IL 60634]>",RoadIntersection
1130,N Austin Ave And W Bryn Mawr Ave,"N Austin Ave & W Bryn Mawr Ave, Chicago, IL 60646","[41.982871, -87.778047]","<[OK] Bing - Geocode [N Austin Ave & W Bryn Mawr Ave, Chicago, IL 60646]>",RoadIntersection
3958,N Austin Ave And W Byron St,"N Austin Ave & W Byron St, Chicago, IL 60634","[41.951221, -87.776675]","<[OK] Bing - Geocode [N Austin Ave & W Byron St, Chicago, IL 60634]>",RoadIntersection
2089,N Austin Ave And W Irving Park Rd,"N Austin Ave & W Irving Park Rd, Chicago, IL 60634","[41.953062, -87.776745]","<[OK] Bing - Geocode [N Austin Ave & W Irving Park Rd, Chicago, IL 60634]>",RoadIntersection
3914,N Austin Ave And W Nelson St,"N Austin Ave & W Nelson St, Chicago, IL 60634","[41.935721, -87.776092]","<[OK] Bing - Geocode [N Austin Ave & W Nelson St, Chicago, IL 60634]>",RoadIntersection
1080,N Austin Ave And W Peterson Ave,"N Austin Ave & W Peterson Ave, Chicago, IL 60646","[41.9901834, -87.7779227]","<[OK] Bing - Geocode [N Austin Ave & W Peterson Ave, Chicago, IL 60646]>",RoadIntersection
1999,N Austin Ave And W Waveland Ave,"N Austin Ave & W Waveland Ave, Chicago, IL 60634","[41.947589, -87.776547]","<[OK] Bing - Geocode [N Austin Ave & W Waveland Ave, Chicago, IL 60634]>",RoadIntersection
3407,N Avers Ave And W Ferdinand St,"N Avers Ave & W Ferdinand St, Chicago, IL 60624","[41.889899, -87.722273]","<[OK] Bing - Geocode [N Avers Ave & W Ferdinand St, Chicago, IL 60624]>",RoadIntersection
1466,N Avers Ave And W Ohio St,"N Avers Ave & W Ohio St, Chicago, IL 60624","[41.891737, -87.722317]","<[OK] Bing - Geocode [N Avers Ave & W Ohio St, Chicago, IL 60624]>",RoadIntersection
1517,N Avondale Ave And W Hurlbut St,"N Avondale Ave & W Hurlbut St, Chicago, IL 60631","[41.986648, -87.7907]","<[OK] Bing - Geocode [N Avondale Ave & W Hurlbut St, Chicago, IL 60631]>",RoadIntersection
3456,N Avondale Ave And W Somerset Ave,"N Avondale Ave & W Somerset Ave, Chicago, IL 60631","[41.984946, -87.787703]","<[OK] Bing - Geocode [N Avondale Ave & W Somerset Ave, Chicago, IL 60631]>",RoadIntersection
2324,N Bernard St And W Barry Ave,"N Bernard St & W Barry Ave, Chicago, IL 60618","[41.937466, -87.713664]","<[OK] Bing - Geocode [N Bernard St & W Barry Ave, Chicago, IL 60618]>",RoadIntersection
110,N Bernard St And W Belmont Ave,"N Bernard St & W Belmont Ave, Chicago, IL 60618","[41.939265, -87.713737]","<[OK] Bing - Geocode [N Bernard St & W Belmont Ave, Chicago, IL 60618]>",RoadIntersection
3316,N Bernard St And W Glenlake Ave,"N Bernard St & W Glenlake Ave, Chicago, IL 60659","[41.9920084, -87.7152823]","<[OK] Bing - Geocode [N Bernard St & W Glenlake Ave, Chicago, IL 60659]>",RoadIntersection
60,N Bernard St And W Grace St,"N Bernard St & W Grace St, Chicago, IL 60618","[41.950203, -87.714012]","<[OK] Bing - Geocode [N Bernard St & W Grace St, Chicago, IL 60618]>",RoadIntersection
1363,N Bernard St And W Granville Ave,"N Bernard St & W Granville Ave, Chicago, IL 60659","[41.9937857, -87.7153194]","<[OK] Bing - Geocode [N Bernard St & W Granville Ave, Chicago, IL 60659]>",RoadIntersection
2280,N Bernard St And W Irving Park Rd,"N Bernard St & W Irving Park Rd, Chicago, IL 60618","[41.953907, -87.714143]","<[OK] Bing - Geocode [N Bernard St & W Irving Park Rd, Chicago, IL 60618]>",RoadIntersection
2771,N Bishop St And W Madison St,"N Bishop St & W Madison St, Chicago, IL 60607","[41.88155, -87.663676]","<[OK] Bing - Geocode [N Bishop St & W Madison St, Chicago, IL 60607]>",RoadIntersection
771,N Bishop St And W Washington Blvd,"N Bishop St & W Washington Blvd, Chicago, IL 60607","[41.882898, -87.663729]","<[OK] Bing - Geocode [N Bishop St & W Washington Blvd, Chicago, IL 60607]>",RoadIntersection
720,N Broadway And W Lawrence Ave,"N Broadway & W Lawrence Ave, Chicago, IL 60640","[41.9690279, -87.6596676]","<[OK] Bing - Geocode [N Broadway & W Lawrence Ave, Chicago, IL 60640]>",RoadIntersection
2723,N Broadway And W Leland Ave,"N Broadway & W Leland Ave, Chicago, IL 60640","[41.9672118, -87.65865]","<[OK] Bing - Geocode [N Broadway & W Leland Ave, Chicago, IL 60640]>",RoadIntersection
2044,N Broadway And W Wilson Ave,"N Broadway & W Wilson Ave, Chicago, IL 60640","[41.965435, -87.657475]","<[OK] Bing - Geocode [N Broadway & W Wilson Ave, Chicago, IL 60640]>",RoadIntersection
3959,N Caldwell Ave And N Le Mai Ave,"N Caldwell Ave & N Le Mai Ave, Chicago, IL 60646","[41.99405715, -87.75918675]","<[OK] Bing - Geocode [N Caldwell Ave & N Le Mai Ave, Chicago, IL 60646]>",RoadIntersection
2090,N Caldwell Ave And N Nokomis Ave,"N Caldwell Ave & N Nokomis Ave, Chicago, IL 60646","[41.9948333, -87.7614249]","<[OK] Bing - Geocode [N Caldwell Ave & N Nokomis Ave, Chicago, IL 60646]>",RoadIntersection
3457,N California Ave And W Carmen Ave,"N California Ave & W Carmen Ave, Chicago, IL 60625","[41.974012, -87.698875]","<[OK] Bing - Geocode [N California Ave & W Carmen Ave, Chicago, IL 60625]>",RoadIntersection
2004,N California Ave And W George St,"N California Ave & W George St, Chicago, IL 60618","[41.9344172, -87.6976618]","<[OK] Bing - Geocode [N California Ave & W George St, Chicago, IL 60618]>",RoadIntersection
3916,N California Ave And W Henderson St,"N California Ave & W Henderson St, Chicago, IL 60618","[41.941891, -87.697866]","<[OK] Bing - Geocode [N California Ave & W Henderson St, Chicago, IL 60618]>",RoadIntersection
2045,N California Ave And W Roscoe St,"N California Ave & W Roscoe St, Chicago, IL 60618","[41.9428, -87.697907]","<[OK] Bing - Geocode [N California Ave & W Roscoe St, Chicago, IL 60618]>",RoadIntersection
3882,N California Ave And W Schubert Ave,"N California Ave & W Schubert Ave, Chicago, IL 60647","[41.930299, -87.697559]","<[OK] Bing - Geocode [N California Ave & W Schubert Ave, Chicago, IL 60647]>",RoadIntersection
2724,N Campbell Ave And N Elston Ave,"N Campbell Ave & N Elston Ave, Chicago, IL 60618","[41.933995, -87.690392]","<[OK] Bing - Geocode [N Campbell Ave & N Elston Ave, Chicago, IL 60618]>",RoadIntersection
772,N Campbell Ave And W Altgeld St,"N Campbell Ave & W Altgeld St, Chicago, IL 60647","[41.926695, -87.690132]","<[OK] Bing - Geocode [N Campbell Ave & W Altgeld St, Chicago, IL 60647]>",RoadIntersection
2091,N Campbell Ave And W Armitage Ave,"N Campbell Ave & W Armitage Ave, Chicago, IL 60647","[41.917575, -87.689848]","<[OK] Bing - Geocode [N Campbell Ave & W Armitage Ave, Chicago, IL 60647]>",RoadIntersection
434,N Campbell Ave And W Belle Plaine Ave,"N Campbell Ave & W Belle Plaine Ave, Chicago, IL 60618","[41.955828, -87.690971]","<[OK] Bing - Geocode [N Campbell Ave & W Belle Plaine Ave, Chicago, IL 60618]>",RoadIntersection
3960,N Campbell Ave And W Cortland St,"N Campbell Ave & W Cortland St, Chicago, IL 60647","[41.915757, -87.6897897]","<[OK] Bing - Geocode [N Campbell Ave & W Cortland St, Chicago, IL 60647]>",RoadIntersection
2000,N Campbell Ave And W Fullerton Ave,"N Campbell Ave & W Fullerton Ave, Chicago, IL 60647","[41.924922, -87.690082]","<[OK] Bing - Geocode [N Campbell Ave & W Fullerton Ave, Chicago, IL 60647]>",RoadIntersection
3917,N Campbell Ave And W North Ave,"N Campbell Ave & W North Ave, Chicago, IL 60647","[41.910258, -87.689651]","<[OK] Bing - Geocode [N Campbell Ave & W North Ave, Chicago, IL 60647]>",RoadIntersection
2046,N Campbell Ave And W Wabansia Ave,"N Campbell Ave & W Wabansia Ave, Chicago, IL 60647","[41.912115, -87.689688]","<[OK] Bing - Geocode [N Campbell Ave & W Wabansia Ave, Chicago, IL 60647]>",RoadIntersection
2532,N Campbell Ave And W Warner Ave,"N Campbell Ave & W Warner Ave, Chicago, IL 60618","[41.956761, -87.690985]","<[OK] Bing - Geocode [N Campbell Ave & W Warner Ave, Chicago, IL 60618]>",RoadIntersection
721,N Campbell Ave And W Wellington Ave,"N Campbell Ave & W Wellington Ave, Chicago, IL 60618","[41.935761, -87.690406]","<[OK] Bing - Geocode [N Campbell Ave & W Wellington Ave, Chicago, IL 60618]>",RoadIntersection
3408,N Canfield Ave And W Balmoral Ave,"N Canfield Ave & W Balmoral Ave, Chicago, IL 60656","[41.977748, -87.824181]","<[OK] Bing - Geocode [N Canfield Ave & W Balmoral Ave, Chicago, IL 60656]>",RoadIntersection
1467,N Canfield Ave And W Bryn Mawr Ave,"N Canfield Ave & W Bryn Mawr Ave, Chicago, IL 60631","[41.981377, -87.823713]","<[OK] Bing - Geocode [N Canfield Ave & W Bryn Mawr Ave, Chicago, IL 60631]>",RoadIntersection
3257,N Carpenter St And W Carroll Ave,"N Carpenter St & W Carroll Ave, Chicago, IL 60607","[41.88775, -87.653339]","<[OK] Bing - Geocode [N Carpenter St & W Carroll Ave, Chicago, IL 60607]>",RoadIntersection
3458,N Carpenter St And W Hubbard St,"N Carpenter St & W Hubbard St, Chicago, IL 60642","[41.890046, -87.653434]","<[OK] Bing - Geocode [N Carpenter St & W Hubbard St, Chicago, IL 60642]>",RoadIntersection
1519,N Carpenter St And W Kinzie St,"N Carpenter St & W Kinzie St, Chicago, IL 60607","[41.888976, -87.653389]","<[OK] Bing - Geocode [N Carpenter St & W Kinzie St, Chicago, IL 60607]>",RoadIntersection
1298,N Carpenter St And W Randolph St,"N Carpenter St & W Randolph St, Chicago, IL 60607","[41.884336, -87.653284]","<[OK] Bing - Geocode [N Carpenter St & W Randolph St, Chicago, IL 60607]>",RoadIntersection
1087,N Central Ave And N Elston Ave,"N Central Ave & N Elston Ave, Chicago, IL 60646","[41.9850181, -87.7683136]","<[OK] Bing - Geocode [N Central Ave & N Elston Ave, Chicago, IL 60646]>",RoadIntersection
1131,N Central Ave And N Indian Rd,"N Central Ave & N Indian Rd, Chicago, IL 60646","[41.988706, -87.766758]","<[OK] Bing - Geocode [N Central Ave & N Indian Rd, Chicago, IL 60646]>",RoadIntersection
1082,N Central Ave And N Leonard Ave,"N Central Ave & N Leonard Ave, Chicago, IL 60646","[41.987222, -87.7682369]","<[OK] Bing - Geocode [N Central Ave & N Leonard Ave, Chicago, IL 60646]>",RoadIntersection
3060,N Central Ave And N Lovejoy Ave,"N Central Ave & N Lovejoy Ave, Chicago, IL 60630","[41.978174, -87.768441]","<[OK] Bing - Geocode [N Central Ave & N Lovejoy Ave, Chicago, IL 60630]>",RoadIntersection
3059,N Central Ave And N Manton Ave,"N Central Ave & N Manton Ave, Chicago, IL 60646","[41.986141, -87.768277]","<[OK] Bing - Geocode [N Central Ave & N Manton Ave, Chicago, IL 60646]>",RoadIntersection
1132,N Central Ave And N Northwest Hwy,"N Central Ave & N Northwest Hwy, Chicago, IL 60630","[41.975197, -87.768486]","<[OK] Bing - Geocode [N Central Ave & N Northwest Hwy, Chicago, IL 60630]>",RoadIntersection
2092,N Central Ave And N Prescott,"N Central Ave & N Prescott Ave, Chicago, IL 60646","[41.992534, -87.765564]","<[OK] Bing - Geocode [N Central Ave & N Prescott Ave, Chicago, IL 60646]>",RoadIntersection
3100,N Central Ave And W Ardmore Ave,"N Central Ave & W Ardmore Ave, Chicago, IL 60646","[41.985834, -87.768284]","<[OK] Bing - Geocode [N Central Ave & W Ardmore Ave, Chicago, IL 60646]>",RoadIntersection
669,N Central Ave And W Berteau Ave,"N Central Ave & W Berteau Ave, Chicago, IL 60634","[41.9568465, -87.7670961]","<[OK] Bing - Geocode [N Central Ave & W Berteau Ave, Chicago, IL 60634]>",RoadIntersection
1083,N Central Ave And W Catalpa Ave,"N Central Ave & W Catalpa Ave, Chicago, IL 60630","[41.98108, -87.76839]","<[OK] Bing - Geocode [N Central Ave & W Catalpa Ave, Chicago, IL 60630]>",RoadIntersection
3062,N Central Ave And W Foster Ave,"N Central Ave & W Foster Ave, Chicago, IL 60630","[41.975686, -87.76848]","<[OK] Bing - Geocode [N Central Ave & W Foster Ave, Chicago, IL 60630]>",RoadIntersection
3879,N Central Ave And W Fullerton Ave,"N Central Ave & W Fullerton Ave, Chicago, IL 60639","[41.923949, -87.765979]","<[OK] Bing - Geocode [N Central Ave & W Fullerton Ave, Chicago, IL 60639]>",RoadIntersection
670,N Central Ave And W Montrose Ave,"N Central Ave & W Montrose Ave, Chicago, IL 60630","[41.960498, -87.767213]","<[OK] Bing - Geocode [N Central Ave & W Montrose Ave, Chicago, IL 60630]>",RoadIntersection
2679,N Central Ave And W Sunnyside Ave,"N Central Ave & W Sunnyside Ave, Chicago, IL 60630","[41.962368, -87.767271]","<[OK] Bing - Geocode [N Central Ave & W Sunnyside Ave, Chicago, IL 60630]>",RoadIntersection
2680,N Central Ave And W Wilson Ave,"N Central Ave & W Wilson Ave, Chicago, IL 60630","[41.964583, -87.767348]","<[OK] Bing - Geocode [N Central Ave & W Wilson Ave, Chicago, IL 60630]>",RoadIntersection
2001,N Central Ave And W Wrightwood Ave,"N Central Ave & W Wrightwood Ave, Chicago, IL 60639","[41.9276558, -87.7660928]","<[OK] Bing - Geocode [N Central Ave & W Wrightwood Ave, Chicago, IL 60639]>",RoadIntersection
2047,N Central Park Ave And W Diversey Ave,"N Central Park Ave & W Diversey Ave, Chicago, IL 60647","[41.931932, -87.717187]","<[OK] Bing - Geocode [N Central Park Ave & W Diversey Ave, Chicago, IL 60647]>",RoadIntersection
2959,N Central Park Ave And W Franklin Blvd,"N Central Park Ave & W Franklin Blvd, Chicago, IL 60624","[41.890217, -87.716266]","<[OK] Bing - Geocode [N Central Park Ave & W Franklin Blvd, Chicago, IL 60624]>",RoadIntersection
2093,N Central Park Ave And W Fullerton Ave,"N Central Park Ave & W Fullerton Ave, Chicago, IL 60647","[41.924663, -87.716992]","<[OK] Bing - Geocode [N Central Park Ave & W Fullerton Ave, Chicago, IL 60647]>",RoadIntersection
773,N Central Park Ave And W Grand Ave,"N Central Park Ave & W Grand Ave, Chicago, IL 60651","[41.902263, -87.716547]","<[OK] Bing - Geocode [N Central Park Ave & W Grand Ave, Chicago, IL 60651]>",RoadIntersection
2772,N Central Park Ave And W Iowa St,"N Central Park Ave & W Iowa St, Chicago, IL 60651","[41.8972908, -87.716356]","<[OK] Bing - Geocode [N Central Park Ave & W Iowa St, Chicago, IL 60651]>",RoadIntersection
3962,N Central Park Ave And W Lyndale St,"N Central Park Ave & W Lyndale St, Chicago, IL 60647","[41.921855, -87.716908]","<[OK] Bing - Geocode [N Central Park Ave & W Lyndale St, Chicago, IL 60647]>",RoadIntersection
973,N Central Park Ave And W Ohio St,"N Central Park Ave & W Ohio St, Chicago, IL 60624","[41.8917937, -87.7162163]","<[OK] Bing - Geocode [N Central Park Ave & W Ohio St, Chicago, IL 60624]>",RoadIntersection
3880,N Cicero Ave And N Caldwell Ave,"N Cicero Ave & N Caldwell Ave, Chicago, IL 60646","[41.9887537, -87.7483266]","<[OK] Bing - Geocode [N Cicero Ave & N Caldwell Ave, Chicago, IL 60646]>",RoadIntersection
722,N Cicero Ave And W Berenice Ave,"N Cicero Ave & W Berenice Ave, Chicago, IL 60641","[41.950688, -87.747273]","<[OK] Bing - Geocode [N Cicero Ave & W Berenice Ave, Chicago, IL 60641]>",RoadIntersection
3918,N Cicero Ave And W Berteau Ave,"N Cicero Ave & W Berteau Ave, Chicago, IL 60641","[41.956503, -87.747324]","<[OK] Bing - Geocode [N Cicero Ave & W Berteau Ave, Chicago, IL 60641]>",RoadIntersection
2002,N Cicero Ave And W Glenlake Ave,"N Cicero Ave & W Glenlake Ave, Chicago, IL 60646","[41.9914013, -87.7483308]","<[OK] Bing - Geocode [N Cicero Ave & W Glenlake Ave, Chicago, IL 60646]>",RoadIntersection
21,N Cicero Ave And W Lawrence Ave,"N Cicero Ave & W Lawrence Ave, Chicago, IL 60630","[41.9680293, -87.7476329]","<[OK] Bing - Geocode [N Cicero Ave & W Lawrence Ave, Chicago, IL 60630]>",RoadIntersection
2048,N Cicero Ave And W Montrose Ave,"N Cicero Ave & W Montrose Ave, Chicago, IL 60641","[41.9607426, -87.7475351]","<[OK] Bing - Geocode [N Cicero Ave & W Montrose Ave, Chicago, IL 60641]>",RoadIntersection
2725,N Cicero Ave And W Warwick Ave,"N Cicero Ave & W Warwick Ave, Chicago, IL 60641","[41.94887, -87.747203]","<[OK] Bing - Geocode [N Cicero Ave & W Warwick Ave, Chicago, IL 60641]>",RoadIntersection
1133,N Claremont Ave And W Chase Ave,"N Claremont Ave & W Chase Ave, Chicago, IL 60645","[42.0140991, -87.6888972]","<[OK] Bing - Geocode [N Claremont Ave & W Chase Ave, Chicago, IL 60645]>",RoadIntersection
982,N Claremont Ave And W Cornelia Ave,"N Claremont Ave & W Cornelia Ave, Chicago, IL 60618","[41.944946, -87.686969]","<[OK] Bing - Geocode [N Claremont Ave & W Cornelia Ave, Chicago, IL 60618]>",RoadIntersection
22,N Claremont Ave And W Eastwood Ave,"N Claremont Ave & W Eastwood Ave, Chicago, IL 60625","[41.965767, -87.687537]","<[OK] Bing - Geocode [N Claremont Ave & W Eastwood Ave, Chicago, IL 60625]>",RoadIntersection
2773,N Claremont Ave And N Potomac Ave,"N Claremont Ave & W Potomac Ave, Chicago, IL 60622","[41.9048995, -87.6858963]","<[OK] Bing - Geocode [N Claremont Ave & W Potomac Ave, Chicago, IL 60622]>",RoadIntersection
2968,N Claremont Ave And W Roscoe St,"N Claremont Ave & W Roscoe St, Chicago, IL 60618","[41.943127, -87.686926]","<[OK] Bing - Geocode [N Claremont Ave & W Roscoe St, Chicago, IL 60618]>",RoadIntersection
3102,N Claremont Ave And W Touhy Ave,"N Claremont Ave & W Touhy Ave, Chicago, IL 60645","[42.012302, -87.688914]","<[OK] Bing - Geocode [N Claremont Ave & W Touhy Ave, Chicago, IL 60645]>",RoadIntersection
