,Project_#,Project_Title,Start_Date,End_Date
0,170 06 / 37889,2014 Sewer Structure Rehabilitation,Jan-2014,Dec-2014
1,170 06 / 37890,2015 Sewer Structure Rehabilitation,Jan-2015,Dec-2015
2,170 06 / 37891,2016 Sewer Structure Rehabilitation,Jan-2016,Dec-2016
3,170 06 / 37893,2014 Private Drain Program,Jan-2014,Dec-2014
4,170 06 / 37894,2015 Private Drain Program,Jan-2015,Dec-2015
5,170 06 / 37895,2016 Private Drain Program,Jan-2016,Dec-2016
6,170 06 / 37899,2014 Sewer Cleaning/Televising,Jan-2014,Dec-2014
7,170 06 / 37900,2015 Sewer Cleaning/Televising,Jan-2015,Dec-2015
8,170 06 / 37901,2016 Sewer Cleaning/Televising,Jan-2016,Dec-2016
9,170 06 / 38311,2017 Cleaning & Televising,Jan-2017,Dec-2017
10,170 06 / 38312,2017 Sewer Structure Rehabilitation,Jan-2017,Dec-2017
11,170 06 / 38315,2017 Private Drain Program,Jan-2017,Dec-2017
12,170 06 / 39027,2018 - Private Drain Program,Jan-2018,Dec-2018
13,170 06 / 39028,2018 - Sewer Main Cleaning & TV'ing,Jan-2018,Dec-2018
