,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -06] 38311,0F19,"1,000,000",0,"1,000,000","1,000,000"
1,[170 -06] 38311,SBF,"3,429,000",0,"3,429,000","3,429,000"
2,[170 -06] 38312,0F19,"4,492,340",0,"4,492,340","4,492,340"
3,[170 -06] 38312,SBF,"3,507,660",0,"3,507,660","3,507,660"
4,[170 -06] 38315,0F19,"1,000,000",0,"1,000,000","1,000,000"
5,[170 -06] 38315,SBF,"4,627,000",0,"4,627,000","4,627,000"
6,[170 -06] 39027,SBF,"5,796,000",0,0,"5,796,000"
7,[170 -06] 39028,SBF,"4,562,000",0,0,"4,562,000"
8,[170 -06] 39501,0F24,"2,500,000","1,900,000","600,000","600,000"
9,[170 -06] 39728,SBF,"8,000,000",0,0,"8,000,000"
10,[170 -06] 39741,SBF,"5,970,000",0,0,"5,970,000"
11,[170 -06] 39744,SBF,"4,699,000",0,0,"4,699,000"
12,[170 -06] 40381,SBF,"8,000,000",0,0,"8,000,000"
13,[170 -06] 40390,SBF,"6,149,369",0,0,"6,149,369"
14,[170 -06] 40396,SBF,"4,776,209",0,0,"4,776,209"
15,[170 -06] 40916,SBF,"8,000,000",0,0,"8,000,000"
16,[170 -06] 40923,SBF,"6,334,000",0,0,"6,334,000"
17,[170 -06] 40924,SBF,"4,985,000",0,0,"4,985,000"
