,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -02] 3204,0F19,"1,044,277",0,"544,277","1,044,277"
1,[170 -02] 3204,0F55,"9,534,531",0,"4,034,531","9,534,531"
2,[170 -02] 38307,0F19,"8,983,900","7,783,900","1,200,000","1,200,000"
3,[170 -02] 38307,0F47,"10,994,365","10,994,365",0,0
4,[170 -02] 38307,SBF,"5,021,735","5,021,735",0,0
5,[170 -02] 38309,0F19,"4,236,556","4,236,556",0,0
6,[170 -02] 38309,0F47,"23,000,000","23,000,000",0,0
7,[170 -02] 38309,SPGO,"5,633,444",0,"5,633,444","5,633,444"
11,[170 -02] 38310,0F19,"5,500,000","3,900,000","1,600,000","1,600,000"
12,[170 -02] 38310,0F47,"11,000,000","11,000,000",0,0
13,[170 -02] 39007,0F47,"31,300,000",0,"31,300,000","31,300,000"
14,[170 -02] 39020,0F47,"945,000",0,"945,000","945,000"
15,[170 -02] 39021,0F47,"229,000",0,"229,000","229,000"
16,[170 -02] 39022,0F47,"14,500,000",0,"14,500,000","14,500,000"
17,[170 -02] 39023,0F47,"10,600,000",0,"10,600,000","10,600,000"
18,[170 -02] 39025,0F19,"1,000,000","1,000,000",0,0
19,[170 -02] 39025,0F47,"15,500,000","2,000,000","13,500,000","13,500,000"
20,[170 -02] 39026,0F47,"2,200,000",0,"2,200,000","2,200,000"
21,[170 -02] 39030,0F47,"2,400,000",0,"2,400,000","2,400,000"
22,[170 -02] 39031,0F47,"8,000,000",0,"8,000,000","8,000,000"
23,[170 -02] 39036,0F47,"40,520,000",0,"40,520,000","40,520,000"
24,[170 -02] 39561,SEPA,"6,110,110",0,0,"6,110,110"
25,[170 -02] 39561,SPGO,"678,901",0,0,"678,901"
26,[170 -02] 39567,SBOF,"304,343",0,0,"304,343"
27,[170 -02] 39567,SEPA,"2,739,088",0,0,"2,739,088"
28,[170 -02] 39568,SEPA,"4,930,621",0,0,"4,930,621"
29,[170 -02] 39568,SPGO,"547,847",0,0,"547,847"
30,[170 -02] 39570,SEPA,"1,647,242",0,0,"1,647,242"
31,[170 -02] 39570,SPGO,"183,027",0,0,"183,027"
32,[170 -02] 39575,SEPA,"4,500,000",0,0,"4,500,000"
33,[170 -02] 39575,SPGO,"500,000",0,0,"500,000"
34,[170 -02] 39578,SBOF,"41,700,000",0,0,"41,700,000"
35,[170 -02] 39722,SPGO,"26,523,000",0,0,"26,523,000"
36,[170 -02] 39723,SPGO,"17,000,000",0,0,"17,000,000"
37,[170 -02] 39734,SBOF,"14,960,000",0,0,"14,960,000"
38,[170 -02] 39736,SPGO,"10,900,000",0,0,"10,900,000"
39,[170 -02] 39737,SBOF,"1,500,000",0,0,"1,500,000"
40,[170 -02] 39738,SBOF,"2,300,000",0,0,"2,300,000"
41,[170 -02] 39740,SBOF,"236,000",0,0,"236,000"
42,[170 -02] 39745,SBOF,"974,000",0,0,"974,000"
43,[170 -02] 40110,SBOF,"42,985,000",0,0,"42,985,000"
44,[170 -02] 40123,0F19,"305,767",0,"305,767","305,767"
45,[170 -02] 40123,0F52,"2,458,594",0,"2,458,594","2,458,594"
46,[170 -02] 40128,SEPA,"2,650,345",0,0,"2,650,345"
47,[170 -02] 40128,SPGO,"294,483",0,0,"294,483"
48,[170 -02] 40131,SEPA,"1,597,742",0,0,"1,597,742"
49,[170 -02] 40131,SPGO,"177,527",0,0,"177,527"
50,[170 -02] 40133,SEPA,"3,928,065",0,0,"3,928,065"
51,[170 -02] 40133,SPGO,"436,452",0,0,"436,452"
52,[170 -02] 40141,SEPA,"5,822,801",0,0,"5,822,801"
53,[170 -02] 40141,SPGO,"646,978",0,0,"646,978"
54,[170 -02] 40376,SBOF,"18,518,000",0,0,"18,518,000"
