,Project_#,Project_Title,Start_Date,End_Date
0,[170 -02] 3204,"CALUMET #4D, PHASE II, 130TH-TORRENCE TO BRANDON",Jun-17,Sep-17
1,[170 -02] 32926,Wolcott: Lawrence to Winnemac,Oct-15,May-16
2,[170 -02] 32989,77th/Blackstone,Sep-16,Dec-16
3,[170 -02] 33346,N.Lavergne Ave.- W. Lawrence Av. to W. Montrose Av.(Tunneling),Jun-14,May-16
4,[170 -02] 33467,Leavitt/Lawrence,Jul-17,Oct-17
5,[170 -02] 35683,E. 69th St./S Langley Ave SIP,Oct-15,May-16
6,[170 -02] 36174,101st St /Ave N,Mar-17,Dec-17
7,[170 -02] 36851,2016 Professional Services - Design/Engineering,Jan-16,Dec-16
8,[170 -02] 37794,2016 Sewer Main Construction - In House,Jan-16,Dec-16
10,[170 -02] 37887,2016 Ancillary Sewer Construction,Jan-16,Dec-16
11,[170 -02] 37905,2016 CDOT Materials QA,Jan-16,Dec-16
12,[170 -02] 37909,2016 CDOT - DEO,Jan-16,Dec-16
13,[170 -02] 37912,2016 Sewer Modeling,Jan-16,Dec-16
14,[170 -02] 37916,2016 Professional Services - Sewer Construction Management Consultants,Jan-16,Dec-16
15,[170 -02] 37919,2016 IH Construction Restoration,Jan-16,Dec-16
16,[170 -02] 38307,2017 Ancillary Sewer Construction,Jan-17,Dec-17
17,[170 -02] 38309,2017 In -House Construction,Jan-17,Dec-17
18,[170 -02] 38310,2017 In House Restoration,Jan-17,Dec-17
19,[170 -02] 38313,2017 CDOT QA,Jan-17,Dec-17
20,[170 -02] 38314,2017 CDOT-DEO,Jan-17,Dec-17
21,[170 -02] 38316,2017 Sewer Modeling,Jan-17,Dec-17
22,[170 -02] 38318,2017 Professional Services Design/Engineering,Jan-17,Dec-17
23,[170 -02] 38319,2017 Professional Services - Sewer Construction Management,Jan-17,Dec-17
24,[170 -02] 38331,2017  Costs for PMO (CTR),Jan-17,Dec-17
25,[170 -02] 38381,2016 Costs for PMO (CTR),Jan-16,Dec-16
26,[170 -02] 38382,Langley/Oakwood,Apr-16,Jul-16
27,[170 -02] 38386,W. Montrose Ave. - N. Narragansett Ave. to N. Austin,Oct-15,May-16
28,[170 -02] 38406,56th/57th/Natoma/Nottingham Sewer Improvement Project,Apr-16,Dec-16
29,[170 -02] 38786,Narragansett Ave./Cornelia Ave/Newport Ave.,Sep-15,May-16
30,[170 -02] 38787,Jarvis Ave/Overhill Ave./Ottawa Ave./Oriole Ave,Jan-17,Jun-17
31,[170 -02] 38788,W. 62nd St. / S. Karlov,Oct-15,May-16
32,[170 -02] 38789,W. 53rd St. - S. Pulaski Rd. to S. Millard Ave.,Jul-16,Dec-16
33,[170 -02] 38790,Mobile/Bloomingdale/Cortland/Wabansia SIP,Oct-15,May-16
34,[170 -02] 38791,W. 60th St.: Mobile to Rutherford,Feb-16,Jun-16
35,[170 -02] 38792,W. 105th St./S. Aberdeen St.,May-16,Sep-16
36,[170 -02] 38794,100th / Normal,Feb-16,Sep-16
37,[170 -02] 38795,Calumet / Eberhart,Jul-16,Jan-17
38,[170 -02] 38796,99th Street and Perry Avenue SIP,Feb-16,Jun-16
39,[170 -02] 38797,August/Keeler,Jul-16,Feb-17
40,[170 -02] 38798,116th & 118th St. SIP,Jan-17,Jul-17
41,[170 -02] 38799,Merrionette Manor Sewer Improvement,May-16,Oct-16
42,[170 -02] 38801,W. Peterson Ave. / N. Kimball/W. Granville,Feb-15,Jun-18
43,[170 -02] 38802,128th/Torrence,Feb-16,Jun-16
44,[170 -02] 38803,101st St/Damen,Jan-17,May-17
45,[170 -02] 38818,95th St/Cottage Grove Av,May-17,Sep-17
46,[170 -02] 38832,75th St./Evans,Apr-16,Jul-16
47,[170 -02] 38880,97th Storage,Jul-17,Dec-17
48,[170 -02] 38881,E 92nd St from Anthony to Essex,Feb-16,Jun-16
49,[170 -02] 38883,E. 95th St./Oglesby Av.,Mar-16,Jul-16
50,[170 -02] 38884,S. Merrill Av/E. 82nd St./S. Jeffery Av./E. 80th,Mar-17,Dec-17
51,[170 -02] 38885,"Avenue ""L"" / 110th St.",Aug-16,Feb-17
52,[170 -02] 38889,92nd Place and Lawrence,Mar-16,Jul-17
53,[170 -02] 38890,Hiawatha/Peterson,Mar-17,Jul-17
54,[170 -02] 38891,W. Devon Av. Sewer Improvement,Feb-17,Jun-17
55,[170 -02] 38893,W. Chicago Av./N. Christiana Av./N. Homan Av./W.,Aug-16,Aug-17
56,[170 -02] 38894,86th St./ S. Bishop St.,Mar-17,Jul-17
57,[170 -02] 39007,2018 Ancillary Sewer Construction,Jan-18,Dec-18
58,[170 -02] 39020,2018 CDOT - DEO,Jan-18,Dec-18
59,[170 -02] 39021,2018 CDOT - Materials QA,Jan-18,Dec-18
60,[170 -02] 39022,2018 - Construction Management,Jan-18,Dec-18
61,[170 -02] 39023,2018 - Design Consultants,Jan-18,Dec-18
62,[170 -02] 39024,2018 - Green Infrastructure Improvements,Jan-18,Dec-18
63,[170 -02] 39025,2018 - In-House Construction Restoration,Jan-18,Dec-18
64,[170 -02] 39026,2018 Costs for PMO (CTR),Jan-18,Dec-18
65,[170 -02] 39030,2018 - Sewer Modeling,Jan-18,Dec-18
66,[170 -02] 39031,2018 - Sewer Structure Rehabilitation,Jan-18,Dec-18
67,[170 -02] 39036,2018 - Sewer Main Construction - In-House,Jan-18,Dec-18
68,[170 -02] 39041,2016 - Green Infrastructure Improvements,Jan-16,Dec-16
69,[170 -02] 39042,2017 - Green Infrastructure Improvements,Jan-17,Dec-17
70,[170 -02] 39054,W. Hollywood Av./N. Lincoln Av./N. Rockwell,Jun-17,Dec-17
71,[170 -02] 39099,Cottage Grove / 41st,Aug-15,May-16
72,[170 -02] 39344,Brooks Park Storage,Feb-17,Dec-17
73,[170 -02] 39462,Kenmore/Seminary/Diversey Sewer Improvement Project,Oct-15,May-16
74,[170 -02] 39464,Kingston & 75th St.,May-17,Oct-17
75,[170 -02] 39499,S. Perry Av./W. 113th Pl./W. 112th Pl./S. State,Feb-16,Jul-17
76,[170 -02] 39559,N. Bernard St./Barry/Greensham,Jan-17,Mar-17
77,[170 -02] 39560,"104th St./Avenue ""E""",Feb-17,Jun-17
78,[170 -02] 39561,96th - S. Houston to Marquette,Feb-18,Jun-18
79,[170 -02] 39562,Halsted and 128th,Feb-17,Jun-17
