,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -06] 37890,0F19,"9,000,000",0,"9,000,000","9,000,000"
1,[170 -06] 37890,0F24,"8,500,000",0,"8,500,000","8,500,000"
2,[170 -06] 37891,0F19,"11,900,000",0,"11,900,000","11,900,000"
3,[170 -06] 37891,SBF,"6,670,000",0,0,"6,670,000"
4,[170 -06] 37894,0F24,"5,300,000",0,"5,300,000","5,300,000"
5,[170 -06] 37895,0F19,"3,000,000",0,0,"3,000,000"
6,[170 -06] 37895,SBF,"2,460,000",0,0,"2,460,000"
7,[170 -06] 37900,0F24,"4,200,000",0,"4,200,000","4,200,000"
8,[170 -06] 37901,0F19,"2,000,000",0,0,"2,000,000"
9,[170 -06] 37901,SBF,"2,370,000",0,0,"2,370,000"
10,[170 -06] 38311,0F19,"2,000,000",0,0,"2,000,000"
11,[170 -06] 38311,SBF,"2,370,000",0,0,"2,370,000"
12,[170 -06] 38312,0F19,"10,000,000",0,0,"10,000,000"
13,[170 -06] 38312,SBF,"9,120,000",0,0,"9,120,000"
14,[170 -06] 38315,0F19,"3,000,000",0,0,"3,000,000"
15,[170 -06] 38315,SBF,"2,630,000",0,0,"2,630,000"
16,[170 -06] 39027,0F19,"2,000,000",0,0,"2,000,000"
17,[170 -06] 39027,SBF,"3,800,000",0,0,"3,800,000"
18,[170 -06] 39028,0F19,"2,000,000",0,0,"2,000,000"
19,[170 -06] 39028,SBF,"2,500,000",0,0,"2,500,000"
20,[170 -06] 39728,0F19,"10,000,000",0,0,"10,000,000"
21,[170 -06] 39728,SBF,"10,290,000",0,0,"10,290,000"
22,[170 -06] 39741,0F19,"3,000,000",0,0,"3,000,000"
23,[170 -06] 39741,SBF,"2,970,000",0,0,"2,970,000"
24,[170 -06] 39744,0F19,"2,000,000",0,0,"2,000,000"
25,[170 -06] 39744,SBF,"2,640,000",0,0,"2,640,000"
