,Project_#,Project_Title,Start_Date,End_Date
0,[170 -02] 3204,"CALUMET #4D, PHASE II, 130TH-TORRENCE TO BRANDON",Jan-18,Dec-18
1,[170 -02] 36851,2016 Professional Services - Design/Engineering,Jan-16,Jul-17
2,[170 -02] 37905,2016 CDOT Materials QA,Jan-16,Jul-17
3,[170 -02] 37909,2016 CDOT - DEO,Jan-16,Jul-17
4,[170 -02] 37912,2016 Sewer Modeling,Jan-16,Jul-17
5,[170 -02] 38307,2017 Ancillary Sewer Construction,Jan-17,Dec-17
6,[170 -02] 38309,2017 In -House Construction,Jan-17,Dec-17
7,[170 -02] 38310,2017 In House Restoration,Jan-17,Dec-17
8,[170 -02] 38313,2017 CDOT QA,Jan-17,Dec-17
9,[170 -02] 38314,2017 CDOT-DEO,Jan-17,Dec-17
10,[170 -02] 38316,2017 Sewer Modeling,Jan-17,Dec-17
11,[170 -02] 38318,2017 Professional Services Design/Engineering,Jan-17,Dec-17
12,[170 -02] 38319,2017 Professional Services - Sewer Construction Management,Jan-17,Dec-17
13,[170 -02] 38331,2017  Costs for PMO (CTR),Jan-17,Dec-17
14,[170 -02] 38885,"Avenue ""L"" / 110th St.",Feb-17,Dec-17
15,[170 -02] 38893,W. Chicago Av./N. Christiana Av./N. Homan Av./W.,Feb-17,Sep-17
16,[170 -02] 39007,2018 Ancillary Sewer Construction,Jan-18,Dec-18
17,[170 -02] 39020,2018 CDOT - DEO,Jan-18,Dec-18
18,[170 -02] 39021,2018 CDOT - Materials QA,Jan-18,Dec-18
19,[170 -02] 39022,2018 - Sewer Construction Management,Jan-18,Dec-18
20,[170 -02] 39023,2018 - Design Consultants,Jan-18,Dec-18
21,[170 -02] 39024,2018 - Green Infrastructure Improvements,Jan-18,Dec-18
22,[170 -02] 39025,2018 - In-House Construction Restoration,Jan-18,Dec-18
23,[170 -02] 39026,2018 Costs for PMO (CTR),Jan-18,Dec-18
24,[170 -02] 39030,2018 - Sewer Modeling,Jan-18,Dec-18
25,[170 -02] 39031,2018 - Sewer Structure Rehabilitation,Jan-18,Dec-18
26,[170 -02] 39036,2018 - Sewer Main Construction - In-House,Jan-18,Dec-18
27,[170 -02] 39042,2017 Green Infrastructure Improvements,Jan-17,Dec-17
28,[170 -02] 39561,96th - S. Houston to Marquette,Feb-20,Jun-20
29,[170 -02] 39567,Pratt/Oshkosh/Northwest Hwy/Ozark,Feb-20,Apr-20
30,[170 -02] 39568,Normal Avenue,Apr-21,Oct-21
31,[170 -02] 39570,E. 114th St/114th Pl./S. Forest Av.,Feb-20,Jun-20
32,[170 -02] 39575,W. Lawrence Av. - N. Cicero Ave. to N. Cicero Ave.,Mar-20,Aug-20
33,[170 -02] 39578,2019 In-House Construction,Jan-19,Dec-19
34,[170 -02] 39722,2019 Ancillary Sewer Construction,Jan-19,Dec-19
35,[170 -02] 39723,2019 In House Restoration,Jan-19,Dec-19
36,[170 -02] 39734,2019 Sewer Construction Management,Jan-19,Dec-19
37,[170 -02] 39736,2019 Design Services,Jan-19,Dec-19
38,[170 -02] 39737,2019 Sewer Modeling,Jan-19,Dec-19
39,[170 -02] 39738,2019 DWM PMO  Services,Jan-19,Dec-19
40,[170 -02] 39740,2019 CDOT - QA,Dec-19,Dec-19
41,[170 -02] 39745,2019 CDOT - DEO,Jan-19,Dec-19
42,[170 -02] 39897,2019 - Green Infrastructure Improvements,Jan-19,Dec-19
43,[170 -02] 40110,2020 In-House Construction,Jan-20,Dec-20
44,[170 -02] 40123,Lotus/Chicago/Ohio/Race/Leamington/Leclaire/L,Mar-19,Sep-19
45,[170 -02] 40128,W. Gunnison St./W. Argyle St.,Jan-20,Dec-20
46,[170 -02] 40131,Jackson/ Troy/Fifth  Ave. Sewer Improvement,Jan-20,Dec-20
47,[170 -02] 40133,Ravenswood /Berwyn/ Paulina Sewer Improvement,Jan-19,Dec-19
48,[170 -02] 40376,2020 Ancillary Sewer Construction,Jan-20,Dec-20
49,[170 -02] 40377,2020 In-House Restoration,Jan-20,Dec-20
50,[170 -02] 40378,2020 In-House Capitalized Labor/Equip.,Jan-20,Dec-20
51,[170 -02] 40382,2020 Construction Management,Jan-20,Dec-20
52,[170 -02] 40383,2020 Design Services,Jan-20,Dec-20
53,[170 -02] 40384,2020 Sewer Modeling,Jan-20,Dec-20
54,[170 -02] 40385,2020 DWM PMO Services,Jan-20,Dec-20
55,[170 -02] 40386,2020 CDOT - DEO,Jan-20,Dec-20
56,[170 -02] 40389,2020 CDOT - QA,Jan-20,Dec-20
57,[170 -02] 40391,2019-2020 Regional Solution Sewer Projects,Jan-20,Dec-20
58,[170 -02] 40413,2017-2020 Regional Solution - Area 4,Aug-17,Dec-20
59,[170 -02] 40454,2017 In-House Capitalized Labor/Equip.,Nov-17,Dec-17
60,[170 -02] 40455,2018 In-House Capitalized Labor/Equip.,Jan-18,Dec-18
61,[170 -02] 40456,2019 In-House Capitalized Labor/Equip.,Jan-19,Dec-19
62,[170 -02] 40461,Additional PC Projects 2018-2021,Jan-18,Dec-21
63,[170 -02] 40462,2017 WPA Streets/Green Initiatives,Jul-17,Dec-17
64,[170 -02] 40566,2016 CPS Space to Grow Projects,Jan-16,Dec-17
65,[170 -02] 40700,P-2017-01 Sewer Main Replacement Project Various Locations,Mar-17,Dec-17
66,[170 -02] 40717,P-2017-03 Sewer Main Replacement Project Various Locations,Mar-17,Jul-17
67,[170 -02] 40718,P-2017-02 Sewer Main Replacement Project Various Locations,Apr-17,Aug-17
68,[170 -02] 40773,P-2017-04 Sewer Improvement Project Various Locations,Jan-18,Dec-18
69,[170 -02] 40774,P-2017-05 Sewer Improvement Project Various Locations,Jan-18,Dec-18
70,[170 -02] 40775,P-2017-06 Sewer Improvement Project Various Locations,Jan-18,Dec-18
71,[170 -02] 40776,P-2017-10 Sewer Main Replacement Project Various Locations,Apr-17,Dec-17
72,[170 -02] 40777,P-2017-11 Sewer Main Replacement Project Various Locations,Apr-17,Dec-17
73,[170 -02] 40778,P-2017-07 Sewer Improvement Project Various Locations,Jan-18,Dec-18
74,[170 -02] 40779,P-2017-08 Sewer Improvement Project Various Locations,Jan-18,Dec-18
75,[170 -02] 40780,P-2017-09 Sewer Improvement Project Various Locations,Jan-19,Dec-19
76,[170 -02] 40892,2020 - Green Infrastructure Improvements,Jan-20,Dec-20
77,[170 -02] 40912,2021 Ancillary Sewer Construction,Jan-21,Dec-21
78,[170 -02] 40913,2021 - In-House Construction Restoration,Jan-21,Dec-21
79,[170 -02] 40914,2018 In-House Capitalized Labor/Equip.,Jan-21,Dec-21
80,[170 -02] 40915,2021 - Sewer Main Construction In-House,Jan-21,Dec-21
81,[170 -02] 40917,2021 - Sewer Construction Management,Jan-21,Dec-21
82,[170 -02] 40918,2021 - Design Consultants,Jan-21,Dec-21
83,[170 -02] 40919,2021 - Sewer Modeling,Jan-21,Dec-21
84,[170 -02] 40920,2021 Costs for PMO (CTR),Jan-21,Dec-21
85,[170 -02] 40921,2021 CDOT - DEO,Jan-21,Dec-21
86,[170 -02] 40922,2021 - CDOT - QA,Jan-21,Dec-21
