,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -06] 39027,0F19,"2,000,000",0,"2,000,000","2,000,000"
1,[170 -06] 39027,SPGO,"3,796,000",0,"3,796,000","3,796,000"
2,[170 -06] 39028,0F19,"1,140,500",0,"1,140,500","1,140,500"
3,[170 -06] 39028,0F47,"3,421,500",0,"3,421,500","3,421,500"
4,[170 -06] 39501,0F24,"2,500,000",0,"2,500,000","2,500,000"
5,[170 -06] 39728,SBOF,"8,200,000",0,0,"8,200,000"
6,[170 -06] 39741,SBOF,"5,970,000",0,0,"5,970,000"
7,[170 -06] 39744,SBOF,"4,699,000",0,0,"4,699,000"
8,[170 -06] 40381,SBOF,"8,500,000",0,0,"8,500,000"
9,[170 -06] 40390,SBOF,"6,149,369",0,0,"6,149,369"
10,[170 -06] 40396,SBOF,"4,776,209",0,0,"4,776,209"
11,[170 -06] 40916,SBOF,"8,700,000",0,0,"8,700,000"
12,[170 -06] 40923,SBOF,"6,334,000",0,0,"6,334,000"
13,[170 -06] 40924,SBOF,"4,985,000",0,0,"4,985,000"
14,[170 -06] 41315,SPGO,"9,000,000",0,0,"9,000,000"
15,[170 -06] 41331,SBOF,"5,134,000",0,0,"5,134,000"
