,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -06] 37891,0F19,"4,000,000",0,"4,000,000","4,000,000"
1,[170 -06] 37891,0F24,"1,500,000",0,"1,500,000","1,500,000"
2,[170 -06] 37891,SBF,"13,070,000",0,"13,070,000","13,070,000"
3,[170 -06] 37895,0F19,"1,300,000",0,"1,300,000","1,300,000"
4,[170 -06] 37895,SBF,"4,160,000",0,"4,160,000","4,160,000"
5,[170 -06] 37901,0F19,"1,000,000",0,"1,000,000","1,000,000"
6,[170 -06] 37901,SBF,"3,200,000",0,"3,200,000","3,200,000"
7,[170 -06] 38311,SBF,"4,371,000",0,0,"4,371,000"
8,[170 -06] 38312,SBF,"19,120,000",0,0,"19,120,000"
9,[170 -06] 38315,SBF,"5,628,000",0,0,"5,628,000"
10,[170 -06] 39027,SBF,"5,796,000",0,0,"5,796,000"
11,[170 -06] 39028,SBF,"4,502,000",0,0,"4,502,000"
12,[170 -06] 39501,0F24,"2,500,000","2,000,000","500,000","500,000"
13,[170 -06] 39501,SBF,"1,000,000",0,"1,000,000","1,000,000"
14,[170 -06] 39728,SBF,"20,300,000",0,0,"20,300,000"
15,[170 -06] 39741,SBF,"5,970,000",0,0,"5,970,000"
16,[170 -06] 39744,SBF,"4,637,000",0,0,"4,637,000"
17,[170 -06] 40381,SBF,"20,895,915",0,0,"20,895,915"
18,[170 -06] 40390,SBF,"6,149,369",0,0,"6,149,369"
19,[170 -06] 40396,SBF,"4,776,209",0,0,"4,776,209"
