,Project_#,Funding_Source,Total_Allocation,Allocation_From_Previous_Year,Current_Year_Allocation,Allocation_For_4_Years
0,[170 -06] 38311,0F19,"999,705","999,705",0,0
1,[170 -06] 38311,0F47,"783,586","707,086","76,500","76,500"
2,[170 -06] 38312,0F19,"4,492,340","4,492,340",0,0
3,[170 -06] 38312,0F47,"953,870","820,489","133,381","133,381"
4,[170 -06] 39027,0F19,"5,781,127","5,371,127","410,000","410,000"
5,[170 -06] 39028,0F19,"1,140,500","880,500","260,000","260,000"
6,[170 -06] 39501,0F19,"2,500,000",0,"2,500,000","2,500,000"
7,[170 -06] 39728,SBOF,"4,830,000",0,"4,780,000","4,830,000"
8,[170 -06] 39741,SBOF,"5,000,000",0,"4,500,000","5,000,000"
9,[170 -06] 39744,SBOF,"2,500,000",0,"2,000,000","2,500,000"
10,[170 -06] 40381,SBOF,"4,930,000",0,0,"4,930,000"
11,[170 -06] 40390,SBOF,"5,100,000",0,0,"5,100,000"
12,[170 -06] 40396,SBOF,"2,000,000",0,0,"2,000,000"
13,[170 -06] 40916,SBOF,"5,020,000",0,0,"5,020,000"
14,[170 -06] 40923,SBOF,"5,200,000",0,0,"5,200,000"
15,[170 -06] 40924,SBOF,"2,000,000",0,0,"2,000,000"
16,[170 -06] 41315,SPGO,"5,130,000",0,0,"5,130,000"
17,[170 -06] 41331,SBOF,"2,000,000",0,0,"2,000,000"
18,[170 -06] 41999,SPGO,"5,180,000",0,0,"5,180,000"
19,[170 -06] 42007,SBOF,"1,000,000",0,0,"1,000,000"
